date,is_irr_day,target_hrs,pump_hrs,shortfall_hrs,met,energy_pump_kWh,energy_solar_kWh,primary_failure,soc_end_pct
2018-09-01,False,0.0,0.0,0.0,True,0.0,21.359,,85.0
2018-09-02,False,0.0,0.0,0.0,True,0.0,20.766,,85.0
2018-09-03,True,1.0,1.0,0.0,True,1.263,18.664,before_start_hour,85.0
2018-09-04,False,0.0,0.0,0.0,True,0.0,26.579,,85.0
2018-09-05,False,0.0,0.0,0.0,True,0.0,26.811,,85.0
2018-09-06,True,1.0,1.0,0.0,True,1.263,17.116,before_start_hour,85.0
2018-09-07,False,0.0,0.0,0.0,True,0.0,20.628,,85.0
2018-09-08,False,0.0,0.0,0.0,True,0.0,13.799,,85.0
2018-09-09,False,0.0,0.0,0.0,True,0.0,18.527,,85.0
2018-09-10,True,3.0,3.0,0.0,True,3.789,21.547,before_start_hour,85.0
2018-09-11,False,0.0,0.0,0.0,True,0.0,25.688,,85.0
2018-09-12,False,0.0,0.0,0.0,True,0.0,24.994,,85.0
2018-09-13,True,3.0,3.0,0.0,True,3.789,17.852,before_start_hour,85.0
2018-09-14,False,0.0,0.0,0.0,True,0.0,19.862,,85.0
2018-09-15,False,0.0,0.0,0.0,True,0.0,24.663,,85.0
2018-09-16,False,0.0,0.0,0.0,True,0.0,24.077,,85.0
2018-09-17,True,6.5,7.0,0.0,True,8.841,20.983,before_start_hour,85.0
2018-09-18,False,0.0,0.0,0.0,True,0.0,22.195,,85.0
2018-09-19,False,0.0,0.0,0.0,True,0.0,19.658,,85.0
2018-09-20,True,6.5,7.0,0.0,True,8.841,18.383,before_start_hour,85.0
2018-09-21,False,0.0,0.0,0.0,True,0.0,21.922,,85.0
2018-09-22,False,0.0,0.0,0.0,True,0.0,21.514,,85.0
2018-09-23,False,0.0,0.0,0.0,True,0.0,23.108,,85.0
2018-09-24,True,6.5,7.0,0.0,True,8.841,22.849,before_start_hour,85.0
2018-09-25,False,0.0,0.0,0.0,True,0.0,22.706,,85.0
2018-09-26,True,6.5,7.0,0.0,True,8.841,22.577,before_start_hour,85.0
2018-09-27,False,0.0,0.0,0.0,True,0.0,22.497,,85.0
