datetime_local,DNI_W_m2,DHI_W_m2,GHI_W_m2,solar_zenith_nsrdb_deg,solar_zenith_calc_deg,solar_azimuth_deg,AOI_deg,G_tilted_W_m2,T_amb_C,T_cell_C,P_dc_W,P_dc_kW,cloud_type,fill_flag
2022-01-01T00:00:00,0.0,0.0,0.0,175.94,176.038,0.0,160.06,0.0,24.4,24.4,0.0,0.0,0,0
2022-01-01T01:00:00,0.0,0.0,0.0,169.68,169.565,0.0,166.32,0.0,24.3,24.3,0.0,0.0,0,0
2022-01-01T02:00:00,0.0,0.0,0.0,156.12,155.998,0.0,179.88,0.0,24.3,24.3,0.0,0.0,0,0
2022-01-01T03:00:00,0.0,0.0,0.0,142.55,142.428,0.0,166.55,0.0,24.2,24.2,0.0,0.0,0,0
2022-01-01T04:00:00,0.0,0.0,0.0,129.09,128.967,0.0,153.09,0.0,24.3,24.3,0.0,0.0,0,0
2022-01-01T05:00:00,0.0,0.0,0.0,115.82,115.693,0.0,139.82,0.0,24.4,24.4,0.0,0.0,0,0
2022-01-01T06:00:00,0.0,0.0,0.0,102.83,102.704,0.0,126.83,0.0,24.4,24.4,0.0,0.0,0,0
2022-01-01T07:00:00,0.0,0.0,0.0,89.76,90.145,0.0,113.76,0.0,24.7,24.7,0.0,0.0,0,0
2022-01-01T08:00:00,600.0,46.0,168.0,78.27,78.242,57.499,91.619,45.46,25.4,26.82,233.27,0.2333,0,0
2022-01-01T09:00:00,785.0,65.0,366.0,67.41,67.359,48.598,84.113,145.87,25.8,30.36,739.13,0.7391,1,0
2022-01-01T10:00:00,883.0,71.0,537.0,58.12,58.085,37.073,78.059,255.28,26.2,34.18,1275.85,1.2758,1,0
2022-01-01T11:00:00,926.0,75.0,654.0,51.31,51.311,22.306,73.898,334.23,26.4,36.84,1654.35,1.6543,1,0
2022-01-01T12:00:00,945.0,77.0,709.0,48.06,48.111,4.67,71.999,371.83,26.6,38.22,1831.2,1.8312,0,0
2022-01-01T13:00:00,940.0,77.0,693.0,49.08,49.191,346.308,72.556,361.45,26.7,38.0,1781.53,1.7815,0,0
2022-01-01T14:00:00,916.0,72.0,609.0,54.14,54.295,329.943,75.531,303.01,26.7,36.17,1503.52,1.5035,0,0
