datetime_local,DNI_W_m2,DHI_W_m2,GHI_W_m2,solar_zenith_nsrdb_deg,solar_zenith_calc_deg,solar_azimuth_deg,AOI_deg,G_tilted_W_m2,T_amb_C,T_cell_C,P_dc_W,P_dc_kW,cloud_type,fill_flag
2020-01-01T00:00:00,0.0,0.0,0.0,176.0,176.038,0.0,160.0,0.0,24.0,24.0,0.0,0.0,0,0
2020-01-01T01:00:00,0.0,0.0,0.0,169.64,169.565,0.0,166.36,0.0,23.8,23.8,0.0,0.0,0,0
2020-01-01T02:00:00,0.0,0.0,0.0,156.08,155.998,0.0,179.92,0.0,23.7,23.7,0.0,0.0,0,0
2020-01-01T03:00:00,0.0,0.0,0.0,142.51,142.428,0.0,166.51,0.0,23.5,23.5,0.0,0.0,0,0
2020-01-01T04:00:00,0.0,0.0,0.0,129.05,128.967,0.0,153.05,0.0,23.4,23.4,0.0,0.0,0,0
2020-01-01T05:00:00,0.0,0.0,0.0,115.78,115.693,0.0,139.78,0.0,23.3,23.3,0.0,0.0,0,0
2020-01-01T06:00:00,0.0,0.0,0.0,102.8,102.704,0.0,126.8,0.0,23.2,23.2,0.0,0.0,0,0
2020-01-01T07:00:00,0.0,0.0,0.0,89.74,90.145,0.0,113.74,0.0,23.4,23.4,0.0,0.0,0,0
2020-01-01T08:00:00,514.0,54.0,158.0,78.26,78.242,57.499,91.61,53.03,23.8,25.46,273.4,0.2734,0,0
2020-01-01T09:00:00,728.0,74.0,353.0,67.4,67.359,48.598,84.103,148.65,24.1,28.75,757.51,0.7575,0,0
2020-01-01T10:00:00,840.0,79.0,522.0,58.13,58.085,37.073,78.068,253.77,24.5,32.43,1276.31,1.2763,0,0
2020-01-01T11:00:00,5.0,258.0,261.0,51.33,51.311,22.306,73.918,250.49,24.7,32.53,1259.38,1.2594,3,0
2020-01-01T12:00:00,909.0,84.0,691.0,48.1,48.111,4.67,72.039,366.64,24.8,36.26,1818.66,1.8187,0,0
2020-01-01T13:00:00,914.0,79.0,677.0,49.13,49.191,346.308,72.606,354.67,24.9,35.98,1761.03,1.761,0,0
2020-01-01T14:00:00,890.0,75.0,595.0,54.2,54.295,329.943,75.59,298.39,24.9,34.22,1491.04,1.491,0,0
2020-01-01T15:00:00,834.0,67.0,455.0,62.31,62.441,316.827,80.685,203.02,24.9,31.24,1025.45,1.0255,0,0
2020-01-01T16:00:00,719.0,54.0,271.0,72.44,72.605,306.704,87.487,85.54,24.7,27.37,438.03,0.438,0,0
2020-01-01T17:00:00,427.0,30.0,76.0,83.79,84.052,298.817,95.514,29.36,24.2,25.12,151.55,0.1515,0,0
2020-01-01T18:00:00,0.0,0.0,0.0,96.17,96.316,0.0,120.17,0.0,23.9,23.9,0.0,0.0,0,0
2020-01-01T19:00:00,0.0,0.0,0.0,108.96,109.11,0.0,132.96,0.0,23.7,23.7,0.0,0.0,0,0
2020-01-01T20:00:00,0.0,0.0,0.0,122.1,122.255,0.0,146.1,0.0,23.6,23.6,0.0,0.0,0,0
2020-01-01T21:00:00,0.0,0.0,0.0,135.47,135.633,0.0,159.47,0.0,23.5,23.5,0.0,0.0,0,0
2020-01-01T22:00:00,0.0,0.0,0.0,148.99,149.157,0.0,172.99,0.0,23.4,23.4,0.0,0.0,0,0
2020-01-01T23:00:00,0.0,0.0,0.0,162.58,162.749,0.0,173.42,0.0,23.2,23.2,0.0,0.0,0,0
2020-01-02T00:00:00,0.0,0.0,0.0,175.86,175.908,0.0,160.14,0.0,23.1,23.1,0.0,0.0,0,0
2020-01-02T01:00:00,0.0,0.0,0.0,169.73,169.647,0.0,166.27,0.0,23.1,23.1,0.0,0.0,0,0
