week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2022-09-01,2022-09-07,7,Initial,0.6,38.4,23.0,19.1,15.3,11.6,2,6.5,12.1,0.0
2022-09-08,2022-09-14,7,Initial,0.6,34.0,20.4,35.5,28.4,12.1,2,6.5,12.1,0.0
2022-09-15,2022-09-21,7,Initial,0.6,36.6,21.9,20.0,16.0,11.6,2,6.5,12.1,0.0
2022-09-22,2022-09-28,7,Initial,0.6,32.3,19.4,33.5,26.8,6.0,2,3.5,6.5,0.0
2022-09-29,2022-10-05,7,Development,0.629,28.9,18.2,11.7,9.4,9.7,2,5.5,10.3,0.0
2022-10-06,2022-10-12,7,Development,0.724,34.1,24.7,16.4,13.1,12.8,2,7.0,13.0,0.0
2022-10-13,2022-10-19,7,Development,0.82,27.8,22.7,35.5,28.4,11.2,2,6.5,12.1,0.0
2022-10-20,2022-10-26,7,Development,0.916,25.6,23.6,9.1,7.3,19.0,3,7.0,19.6,0.0
2022-10-27,2022-11-02,7,Development,1.012,31.8,32.2,7.7,6.2,26.0,4,7.0,26.1,0.0
2022-11-03,2022-11-09,7,Development,1.109,33.6,37.3,15.2,12.2,28.4,4,8.0,29.8,0.0
2022-11-10,2022-11-16,7,Mid-season,1.15,24.3,27.9,11.0,8.8,19.7,3,7.5,21.0,0.0
2022-11-17,2022-11-23,7,Mid-season,1.15,21.4,24.6,12.8,10.2,14.3,2,8.0,14.9,0.0
2022-11-24,2022-11-30,7,Mid-season,1.15,21.6,24.9,12.1,9.7,15.8,3,6.0,16.8,0.0
2022-12-01,2022-12-07,7,Mid-season,1.15,30.9,35.5,2.1,1.7,33.9,5,7.5,34.9,0.0
2022-12-08,2022-12-14,7,Mid-season,1.15,23.9,27.5,6.1,4.9,22.6,4,6.5,24.2,0.0
2022-12-15,2022-12-21,7,Mid-season,1.144,19.3,22.1,21.2,17.0,12.3,2,7.0,13.0,0.0
2022-12-22,2022-12-28,7,Late,1.066,16.9,18.0,13.2,10.6,12.1,2,6.5,12.1,0.0
2022-12-29,2023-01-04,7,Late,0.968,22.8,22.1,5.5,4.4,17.6,3,6.5,18.2,0.0
2023-01-05,2023-01-11,7,Late,0.87,21.3,18.5,4.4,3.5,15.0,3,5.5,15.4,0.0
2023-01-12,2023-01-13,2,Late,0.807,7.4,6.0,0.5,0.4,5.6,2,3.0,5.6,0.0
