date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2022-09-01,1,Initial,0.3,5.78,1.73,0.1,0.08,1.65
2022-09-02,2,Initial,0.3,5.99,1.8,7.9,6.32,0.0
2022-09-03,3,Initial,0.3,5.6,1.68,2.0,1.6,0.08
2022-09-04,4,Initial,0.3,6.04,1.81,0.5,0.4,1.41
2022-09-05,5,Initial,0.3,6.01,1.8,2.4,1.92,0.0
2022-09-06,6,Initial,0.3,4.74,1.42,1.6,1.28,0.14
2022-09-07,7,Initial,0.3,4.2,1.26,4.6,3.68,0.0
2022-09-08,8,Initial,0.3,4.33,1.3,0.3,0.24,1.06
2022-09-09,9,Initial,0.3,5.51,1.65,0.3,0.24,1.41
2022-09-10,10,Initial,0.3,5.8,1.74,2.0,1.6,0.14
2022-09-11,11,Initial,0.3,5.85,1.75,1.2,0.96,0.79
2022-09-12,12,Initial,0.3,5.27,1.58,1.2,0.96,0.62
2022-09-13,13,Initial,0.3,3.21,0.96,22.8,18.24,0.0
2022-09-14,14,Initial,0.3,3.99,1.2,7.7,6.16,0.0
2022-09-15,15,Initial,0.3,3.73,1.12,8.0,6.4,0.0
2022-09-16,16,Initial,0.3,5.47,1.64,6.0,4.8,0.0
2022-09-17,17,Initial,0.3,5.5,1.65,3.6,2.88,0.0
2022-09-18,18,Initial,0.3,5.7,1.71,0.9,0.72,0.99
2022-09-19,19,Initial,0.3,4.88,1.46,0.5,0.4,1.06
2022-09-20,20,Initial,0.3,5.71,1.71,1.0,0.8,0.91
2022-09-21,21,Initial,0.3,5.59,1.68,0.0,0.0,1.68
2022-09-22,22,Initial,0.3,5.04,1.51,4.9,3.92,0.0
2022-09-23,23,Initial,0.3,4.54,1.36,1.9,1.52,0.0
2022-09-24,24,Initial,0.3,5.59,1.68,0.0,0.0,1.68
2022-09-25,25,Initial,0.3,5.54,1.66,2.3,1.84,0.0
2022-09-26,26,Initial,0.3,3.66,1.1,9.4,7.52,0.0
2022-09-27,27,Initial,0.3,2.62,0.79,8.5,6.8,0.0
2022-09-28,28,Initial,0.3,5.32,1.6,6.5,5.2,0.0
2022-09-29,29,Initial,0.3,4.32,1.3,2.3,1.84,0.0
2022-09-30,30,Initial,0.3,3.88,1.16,4.0,3.2,0.0
2022-10-01,31,Initial,0.3,4.3,1.29,1.3,1.04,0.25
2022-10-02,32,Initial,0.3,4.71,1.41,0.0,0.0,1.41
2022-10-03,33,Initial,0.3,4.19,1.26,0.9,0.72,0.54
2022-10-04,34,Initial,0.3,3.67,1.1,2.1,1.68,0.0
2022-10-05,35,Initial,0.3,3.85,1.16,1.1,0.88,0.27
2022-10-06,36,Initial,0.3,4.77,1.43,2.5,2.0,0.0
2022-10-07,37,Initial,0.3,5.27,1.58,0.3,0.24,1.34
2022-10-08,38,Initial,0.3,4.8,1.44,5.8,4.64,0.0
2022-10-09,39,Initial,0.3,5.04,1.51,1.5,1.2,0.31
2022-10-10,40,Initial,0.3,4.96,1.49,3.6,2.88,0.0
2022-10-11,41,Initial,0.3,5.11,1.53,0.8,0.64,0.89
2022-10-12,42,Initial,0.3,4.14,1.24,1.9,1.52,0.0
2022-10-13,43,Initial,0.3,3.84,1.15,4.9,3.92,0.0
2022-10-14,44,Initial,0.3,3.77,1.13,18.3,14.64,0.0
2022-10-15,45,Initial,0.3,4.23,1.27,0.6,0.48,0.79
2022-10-16,46,Initial,0.3,4.75,1.43,1.9,1.52,0.0
2022-10-17,47,Initial,0.3,4.79,1.44,0.5,0.4,1.04
2022-10-18,48,Initial,0.3,3.45,1.03,0.7,0.56,0.47
2022-10-19,49,Initial,0.3,2.95,0.89,8.6,6.88,0.0
2022-10-20,50,Initial,0.3,1.68,0.5,5.2,4.16,0.0
2022-10-21,51,Initial,0.3,3.77,1.13,1.4,1.12,0.01
2022-10-22,52,Initial,0.3,3.96,1.19,0.0,0.0,1.19
2022-10-23,53,Initial,0.3,4.68,1.4,0.0,0.0,1.4
2022-10-24,54,Initial,0.3,4.97,1.49,0.0,0.0,1.49
2022-10-25,55,Initial,0.3,3.38,1.01,1.0,0.8,0.21
2022-10-26,56,Initial,0.3,3.21,0.96,1.5,1.2,0.0
2022-10-27,57,Initial,0.3,4.51,1.35,0.0,0.0,1.35
2022-10-28,58,Initial,0.3,5.34,1.6,0.0,0.0,1.6
2022-10-29,59,Initial,0.3,4.99,1.5,2.8,2.24,0.0
2022-10-30,60,Initial,0.3,4.12,1.24,3.5,2.8,0.0
2022-10-31,61,Development,0.306,3.78,1.15,1.2,0.96,0.19
2022-11-01,62,Development,0.311,4.65,1.45,0.1,0.08,1.37
2022-11-02,63,Development,0.317,4.44,1.41,0.1,0.08,1.33
2022-11-03,64,Development,0.322,4.65,1.5,0.0,0.0,1.5
2022-11-04,65,Development,0.328,4.89,1.6,0.6,0.48,1.12
2022-11-05,66,Development,0.333,4.81,1.6,0.2,0.16,1.44
2022-11-06,67,Development,0.339,5.38,1.82,0.7,0.56,1.26
2022-11-07,68,Development,0.344,5.56,1.92,1.5,1.2,0.72
2022-11-08,69,Development,0.35,4.57,1.6,2.7,2.16,0.0
2022-11-09,70,Development,0.356,3.78,1.34,9.5,7.6,0.0
2022-11-10,71,Development,0.361,4.28,1.55,1.4,1.12,0.43
2022-11-11,72,Development,0.367,3.78,1.39,0.6,0.48,0.91
2022-11-12,73,Development,0.372,2.65,0.99,4.5,3.6,0.0
2022-11-13,74,Development,0.378,2.41,0.91,2.8,2.24,0.0
2022-11-14,75,Development,0.383,3.69,1.41,0.8,0.64,0.77
2022-11-15,76,Development,0.389,3.75,1.46,0.4,0.32,1.14
2022-11-16,77,Development,0.394,3.71,1.46,0.5,0.4,1.06
2022-11-17,78,Development,0.4,3.17,1.27,1.9,1.52,0.0
2022-11-18,79,Development,0.406,2.85,1.16,2.2,1.76,0.0
2022-11-19,80,Development,0.411,2.86,1.18,3.3,2.64,0.0
