date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_target_mm,swd_mm
2022-09-01,1,Initial,0.6,5.78,3.47,0.1,0.08,3.39,3.39,0.0
2022-09-02,2,Initial,0.6,5.99,3.59,7.9,6.32,0.0,0.0,0.0
2022-09-03,3,Initial,0.6,5.6,3.36,2.0,1.6,1.76,0.0,1.76
2022-09-04,4,Initial,0.6,6.04,3.62,0.5,0.4,3.22,0.0,4.98
2022-09-05,5,Initial,0.6,6.01,3.61,2.4,1.92,1.69,6.67,0.0
2022-09-06,6,Initial,0.6,4.74,2.84,1.6,1.28,1.56,0.0,1.56
2022-09-07,7,Initial,0.6,4.2,2.52,4.6,3.68,0.0,0.0,0.4
2022-09-08,8,Initial,0.6,4.33,2.6,0.3,0.24,2.36,2.76,0.0
2022-09-09,9,Initial,0.6,5.51,3.31,0.3,0.24,3.07,0.0,3.07
2022-09-10,10,Initial,0.6,5.8,3.48,2.0,1.6,1.88,0.0,4.95
2022-09-11,11,Initial,0.6,5.85,3.51,1.2,0.96,2.55,0.0,7.5
2022-09-12,12,Initial,0.6,5.27,3.16,1.2,0.96,2.2,9.7,0.0
2022-09-13,13,Initial,0.6,3.21,1.93,22.8,18.24,0.0,0.0,0.0
2022-09-14,14,Initial,0.6,3.99,2.39,7.7,6.16,0.0,0.0,0.0
2022-09-15,15,Initial,0.6,3.73,2.24,8.0,6.4,0.0,0.0,0.0
2022-09-16,16,Initial,0.6,5.47,3.28,6.0,4.8,0.0,0.0,0.0
2022-09-17,17,Initial,0.6,5.5,3.3,3.6,2.88,0.42,0.0,0.42
2022-09-18,18,Initial,0.6,5.7,3.42,0.9,0.72,2.7,0.0,3.12
2022-09-19,19,Initial,0.6,4.88,2.93,0.5,0.4,2.53,5.65,0.0
2022-09-20,20,Initial,0.6,5.71,3.43,1.0,0.8,2.63,0.0,2.63
2022-09-21,21,Initial,0.6,5.59,3.35,0.0,0.0,3.35,0.0,5.98
2022-09-22,22,Initial,0.6,5.04,3.02,4.9,3.92,0.0,5.08,0.0
2022-09-23,23,Initial,0.6,4.54,2.72,1.9,1.52,1.2,0.0,1.2
2022-09-24,24,Initial,0.6,5.59,3.35,0.0,0.0,3.35,0.0,4.55
2022-09-25,25,Initial,0.6,5.54,3.32,2.3,1.84,1.48,0.0,6.03
2022-09-26,26,Initial,0.6,3.66,2.2,9.4,7.52,0.0,0.71,0.0
2022-09-27,27,Initial,0.6,2.62,1.57,8.5,6.8,0.0,0.0,0.0
2022-09-28,28,Initial,0.6,5.32,3.19,6.5,5.2,0.0,0.0,0.0
2022-09-29,29,Initial,0.6,4.32,2.59,2.3,1.84,0.75,0.75,0.0
2022-09-30,30,Initial,0.6,3.88,2.33,4.0,3.2,0.0,0.0,0.0
2022-10-01,31,Development,0.614,4.3,2.64,1.3,1.04,1.6,0.0,1.6
2022-10-02,32,Development,0.627,4.71,2.96,0.0,0.0,2.96,0.0,4.56
2022-10-03,33,Development,0.641,4.19,2.69,0.9,0.72,1.97,6.53,0.0
2022-10-04,34,Development,0.655,3.67,2.4,2.1,1.68,0.72,0.0,0.72
2022-10-05,35,Development,0.669,3.85,2.57,1.1,0.88,1.69,0.0,2.41
2022-10-06,36,Development,0.682,4.77,3.26,2.5,2.0,1.26,3.67,0.0
2022-10-07,37,Development,0.696,5.27,3.67,0.3,0.24,3.43,0.0,3.43
2022-10-08,38,Development,0.71,4.8,3.41,5.8,4.64,0.0,0.0,2.2
2022-10-09,39,Development,0.724,5.04,3.65,1.5,1.2,2.45,0.0,4.65
2022-10-10,40,Development,0.737,4.96,3.66,3.6,2.88,0.78,5.43,0.0
2022-10-11,41,Development,0.751,5.11,3.84,0.8,0.64,3.2,0.0,3.2
2022-10-12,42,Development,0.765,4.14,3.17,1.9,1.52,1.65,0.0,4.85
2022-10-13,43,Development,0.779,3.84,2.99,4.9,3.92,0.0,3.92,0.0
2022-10-14,44,Development,0.792,3.77,2.99,18.3,14.64,0.0,0.0,0.0
2022-10-15,45,Development,0.806,4.23,3.41,0.6,0.48,2.93,0.0,2.93
2022-10-16,46,Development,0.82,4.75,3.89,1.9,1.52,2.37,0.0,5.3
2022-10-17,47,Development,0.834,4.79,3.99,0.5,0.4,3.59,8.89,0.0
2022-10-18,48,Development,0.847,3.45,2.92,0.7,0.56,2.36,0.0,2.36
2022-10-19,49,Development,0.861,2.95,2.54,8.6,6.88,0.0,0.0,0.0
2022-10-20,50,Development,0.875,1.68,1.47,5.2,4.16,0.0,0.0,0.0
2022-10-21,51,Development,0.889,3.77,3.35,1.4,1.12,2.23,2.23,0.0
2022-10-22,52,Development,0.902,3.96,3.57,0.0,0.0,3.57,0.0,3.57
2022-10-23,53,Development,0.916,4.68,4.29,0.0,0.0,4.29,0.0,7.86
2022-10-24,54,Development,0.93,4.97,4.62,0.0,0.0,4.62,12.48,0.0
2022-10-25,55,Development,0.944,3.38,3.19,1.0,0.8,2.39,0.0,2.39
2022-10-26,56,Development,0.958,3.21,3.07,1.5,1.2,1.87,4.26,0.0
2022-10-27,57,Development,0.971,4.51,4.38,0.0,0.0,4.38,4.38,0.0
2022-10-28,58,Development,0.985,5.34,5.26,0.0,0.0,5.26,5.26,0.0
2022-10-29,59,Development,0.999,4.99,4.98,2.8,2.24,2.74,0.0,2.74
2022-10-30,60,Development,1.012,4.12,4.17,3.5,2.8,1.37,0.0,4.11
2022-10-31,61,Development,1.026,3.78,3.88,1.2,0.96,2.92,7.03,0.0
2022-11-01,62,Development,1.04,4.65,4.84,0.1,0.08,4.76,4.76,0.0
2022-11-02,63,Development,1.054,4.44,4.68,0.1,0.08,4.6,0.0,4.6
2022-11-03,64,Development,1.067,4.65,4.96,0.0,0.0,4.96,9.56,0.0
2022-11-04,65,Development,1.081,4.89,5.29,0.6,0.48,4.81,4.81,0.0
2022-11-05,66,Development,1.095,4.81,5.27,0.2,0.16,5.11,0.0,5.11
2022-11-06,67,Development,1.109,5.38,5.97,0.7,0.56,5.41,0.0,10.52
2022-11-07,68,Development,1.123,5.56,6.24,1.5,1.2,5.04,15.56,0.0
2022-11-08,69,Development,1.136,4.57,5.19,2.7,2.16,3.03,3.03,0.0
2022-11-09,70,Development,1.15,3.78,4.35,9.5,7.6,0.0,0.0,0.0
2022-11-10,71,Mid-season,1.15,4.28,4.92,1.4,1.12,3.8,0.0,3.8
2022-11-11,72,Mid-season,1.15,3.78,4.35,0.6,0.48,3.87,7.67,0.0
2022-11-12,73,Mid-season,1.15,2.65,3.05,4.5,3.6,0.0,0.0,0.0
2022-11-13,74,Mid-season,1.15,2.41,2.77,2.8,2.24,0.53,0.0,0.53
2022-11-14,75,Mid-season,1.15,3.69,4.24,0.8,0.64,3.6,4.13,0.0
2022-11-15,76,Mid-season,1.15,3.75,4.31,0.4,0.32,3.99,0.0,3.99
2022-11-16,77,Mid-season,1.15,3.71,4.27,0.5,0.4,3.87,7.86,0.0
2022-11-17,78,Mid-season,1.15,3.17,3.65,1.9,1.52,2.13,2.13,0.0
2022-11-18,79,Mid-season,1.15,2.85,3.28,2.2,1.76,1.52,0.0,1.52
2022-11-19,80,Mid-season,1.15,2.86,3.29,3.3,2.64,0.65,0.0,2.17
