week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2018-09-01,2018-09-07,7,Initial,0.6,33.1,19.9,61.4,49.1,1.8,2,1.0,1.9,0.0
2018-09-08,2018-09-14,7,Initial,0.6,30.1,18.1,18.4,14.7,5.0,2,3.0,5.6,0.0
2018-09-15,2018-09-21,7,Initial,0.6,35.0,21.0,14.2,11.4,11.2,2,6.5,12.1,0.0
2018-09-22,2018-09-28,7,Initial,0.6,39.4,23.6,7.2,5.8,17.9,3,6.5,18.2,0.0
2018-09-29,2018-10-05,7,Development,0.629,38.3,24.1,15.2,12.2,13.7,2,7.5,14.0,0.0
2018-10-06,2018-10-12,7,Development,0.724,33.3,23.9,34.1,27.3,10.8,2,6.0,11.2,0.0
2018-10-13,2018-10-19,7,Development,0.82,35.8,29.5,9.1,7.3,24.8,4,7.0,26.1,0.0
2018-10-20,2018-10-26,7,Development,0.916,27.5,25.2,19.7,15.8,10.7,2,6.0,11.2,0.0
2018-10-27,2018-11-02,7,Development,1.012,32.7,33.1,5.4,4.3,28.8,4,8.0,29.8,0.0
2018-11-03,2018-11-09,7,Development,1.109,29.4,32.6,7.0,5.6,27.0,4,7.5,28.0,0.0
2018-11-10,2018-11-16,7,Mid-season,1.15,26.9,31.0,7.3,5.8,25.1,4,7.0,26.1,0.0
2018-11-17,2018-11-23,7,Mid-season,1.15,26.6,30.6,2.8,2.2,28.4,4,8.0,29.8,0.0
2018-11-24,2018-11-30,7,Mid-season,1.15,25.0,28.7,6.2,5.0,23.7,4,6.5,24.2,0.0
2018-12-01,2018-12-07,7,Mid-season,1.15,26.8,30.8,6.0,4.8,26.0,4,7.0,26.1,0.0
2018-12-08,2018-12-14,7,Mid-season,1.15,25.4,29.2,3.6,2.9,26.3,4,7.5,28.0,0.0
2018-12-15,2018-12-21,7,Mid-season,1.144,24.5,28.0,19.5,15.6,22.7,4,6.5,24.2,0.0
2018-12-22,2018-12-28,7,Late,1.066,24.1,25.7,10.6,8.5,17.2,3,6.5,18.2,0.0
2018-12-29,2019-01-04,7,Late,0.968,25.9,25.1,0.8,0.6,24.4,4,7.0,26.1,0.0
2019-01-05,2019-01-11,7,Late,0.87,24.6,21.4,1.6,1.3,20.1,3,7.5,21.0,0.0
2019-01-12,2019-01-13,2,Late,0.807,7.1,5.7,3.5,2.8,2.9,2,2.0,3.7,0.0
