week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2023-09-01,2023-09-07,7,Initial,0.6,40.7,24.4,3.8,3.0,21.4,3,8.0,22.4,0.0
2023-09-08,2023-09-14,7,Initial,0.6,38.4,23.1,10.5,8.4,15.8,3,6.0,16.8,0.0
2023-09-15,2023-09-21,7,Initial,0.6,32.1,19.3,12.9,10.3,8.9,2,5.0,9.3,0.0
2023-09-22,2023-09-28,7,Initial,0.6,23.4,14.0,38.2,30.6,4.3,2,2.5,4.7,0.0
2023-09-29,2023-10-05,7,Development,0.629,28.1,17.8,27.8,22.2,5.5,2,3.0,5.6,0.0
2023-10-06,2023-10-12,7,Development,0.724,29.6,21.4,9.0,7.2,14.8,2,8.0,14.9,0.0
2023-10-13,2023-10-19,7,Development,0.82,31.1,25.5,32.0,25.6,20.3,3,7.5,21.0,0.0
2023-10-20,2023-10-26,7,Development,0.916,31.4,29.0,52.2,41.8,23.0,4,6.5,24.2,0.0
2023-10-27,2023-11-02,7,Development,1.012,31.0,31.2,13.2,10.6,20.7,3,7.5,21.0,0.0
2023-11-03,2023-11-09,7,Development,1.109,26.0,29.0,15.1,12.1,22.5,4,6.5,24.2,0.0
2023-11-10,2023-11-16,7,Mid-season,1.15,28.4,32.7,65.1,52.1,25.5,4,7.0,26.1,0.0
2023-11-17,2023-11-23,7,Mid-season,1.15,24.4,28.1,6.3,5.0,24.5,4,7.0,26.1,0.0
2023-11-24,2023-11-30,7,Mid-season,1.15,24.2,27.8,3.6,2.9,24.9,4,7.0,26.1,0.0
2023-12-01,2023-12-07,7,Mid-season,1.15,23.8,27.4,1.1,0.9,26.5,4,7.5,28.0,0.0
2023-12-08,2023-12-14,7,Mid-season,1.15,21.3,24.5,41.3,33.0,11.1,2,6.0,11.2,0.0
2023-12-15,2023-12-21,7,Mid-season,1.144,21.7,24.8,72.5,58.0,16.2,3,6.0,16.8,0.0
2023-12-22,2023-12-28,7,Late,1.066,18.0,19.3,18.3,14.6,12.8,2,7.0,13.0,0.0
2023-12-29,2024-01-04,7,Late,0.968,15.4,15.0,3.3,2.6,12.9,2,7.0,13.0,0.0
2024-01-05,2024-01-11,7,Late,0.87,11.4,9.9,20.8,16.6,4.4,2,2.5,4.7,0.0
2024-01-12,2024-01-13,2,Late,0.807,5.2,4.2,0.3,0.2,4.0,2,2.5,4.7,0.0
