date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_target_mm,swd_mm
2024-09-01,1,Initial,0.6,3.0,1.8,16.6,13.28,0.0,0.0,0.0
2024-09-02,2,Initial,0.6,3.58,2.15,1.6,1.28,0.87,0.87,0.0
2024-09-03,3,Initial,0.6,5.12,3.07,1.1,0.88,2.19,0.0,2.19
2024-09-04,4,Initial,0.6,4.92,2.95,0.2,0.16,2.79,0.0,4.98
2024-09-05,5,Initial,0.6,4.44,2.66,1.5,1.2,1.46,6.44,0.0
2024-09-06,6,Initial,0.6,4.27,2.56,0.7,0.56,2.0,0.0,2.0
2024-09-07,7,Initial,0.6,4.89,2.93,0.4,0.32,2.61,0.0,4.61
2024-09-08,8,Initial,0.6,4.76,2.86,1.8,1.44,1.42,0.0,6.03
2024-09-09,9,Initial,0.6,3.93,2.36,1.6,1.28,1.08,7.11,0.0
2024-09-10,10,Initial,0.6,3.35,2.01,5.2,4.16,0.0,0.0,0.0
2024-09-11,11,Initial,0.6,3.42,2.05,11.4,9.12,0.0,0.0,0.0
2024-09-12,12,Initial,0.6,2.65,1.59,12.5,10.0,0.0,0.0,0.0
2024-09-13,13,Initial,0.6,3.54,2.12,6.6,5.28,0.0,0.0,0.0
2024-09-14,14,Initial,0.6,3.63,2.18,9.8,7.84,0.0,0.0,0.0
2024-09-15,15,Initial,0.6,3.43,2.06,5.8,4.64,0.0,0.0,0.0
2024-09-16,16,Initial,0.6,3.05,1.83,8.3,6.64,0.0,0.0,0.0
2024-09-17,17,Initial,0.6,1.42,0.85,22.9,18.32,0.0,0.0,0.0
2024-09-18,18,Initial,0.6,3.14,1.88,1.1,0.88,1.0,0.0,1.0
2024-09-19,19,Initial,0.6,2.99,1.79,4.8,3.84,0.0,0.0,0.0
2024-09-20,20,Initial,0.6,3.75,2.25,6.6,5.28,0.0,0.0,0.0
2024-09-21,21,Initial,0.6,3.53,2.12,1.4,1.12,1.0,0.0,1.0
2024-09-22,22,Initial,0.6,3.82,2.29,1.1,0.88,1.41,0.0,2.41
2024-09-23,23,Initial,0.6,4.66,2.8,0.0,0.0,2.8,5.21,0.0
2024-09-24,24,Initial,0.6,3.46,2.08,4.2,3.36,0.0,0.0,0.0
2024-09-25,25,Initial,0.6,3.52,2.11,8.1,6.48,0.0,0.0,0.0
2024-09-26,26,Initial,0.6,3.77,2.26,0.5,0.4,1.86,1.86,0.0
2024-09-27,27,Initial,0.6,3.46,2.08,0.2,0.16,1.92,0.0,1.92
2024-09-28,28,Initial,0.6,3.49,2.09,2.6,2.08,0.01,0.0,1.93
2024-09-29,29,Initial,0.6,4.46,2.68,0.4,0.32,2.36,0.0,4.29
2024-09-30,30,Initial,0.6,4.33,2.6,0.0,0.0,2.6,6.89,0.0
2024-10-01,31,Development,0.614,4.38,2.69,0.0,0.0,2.69,0.0,2.69
2024-10-02,32,Development,0.627,4.39,2.75,1.7,1.36,1.39,0.0,4.08
2024-10-03,33,Development,0.641,3.02,1.94,0.0,0.0,1.94,6.02,0.0
2024-10-04,34,Development,0.655,3.86,2.53,1.0,0.8,1.73,0.0,1.73
2024-10-05,35,Development,0.669,4.2,2.81,3.0,2.4,0.41,0.0,2.14
2024-10-06,36,Development,0.682,2.54,1.73,7.7,6.16,0.0,0.0,0.0
2024-10-07,37,Development,0.696,0.85,0.59,52.5,42.0,0.0,0.0,0.0
2024-10-08,38,Development,0.71,2.05,1.46,9.6,7.68,0.0,0.0,0.0
2024-10-09,39,Development,0.724,3.62,2.62,3.0,2.4,0.22,0.0,0.22
2024-10-10,40,Development,0.737,3.4,2.51,7.8,6.24,0.0,0.0,0.0
2024-10-11,41,Development,0.751,3.51,2.64,0.4,0.32,2.32,0.0,2.32
2024-10-12,42,Development,0.765,3.31,2.53,1.7,1.36,1.17,0.0,3.49
2024-10-13,43,Development,0.779,2.24,1.74,11.4,9.12,0.0,0.0,0.0
2024-10-14,44,Development,0.792,3.47,2.75,2.8,2.24,0.51,0.51,0.0
2024-10-15,45,Development,0.806,2.17,1.75,0.2,0.16,1.59,0.0,1.59
2024-10-16,46,Development,0.82,1.98,1.62,6.8,5.44,0.0,0.0,0.0
2024-10-17,47,Development,0.834,1.59,1.33,8.6,6.88,0.0,0.0,0.0
2024-10-18,48,Development,0.847,1.2,1.02,22.0,17.6,0.0,0.0,0.0
2024-10-19,49,Development,0.861,3.11,2.68,0.1,0.08,2.6,0.0,2.6
2024-10-20,50,Development,0.875,3.47,3.04,0.0,0.0,3.04,0.0,5.64
2024-10-21,51,Development,0.889,2.94,2.61,1.3,1.04,1.57,7.21,0.0
2024-10-22,52,Development,0.902,3.54,3.19,2.4,1.92,1.27,0.0,1.27
2024-10-23,53,Development,0.916,3.59,3.29,0.0,0.0,3.29,4.56,0.0
2024-10-24,54,Development,0.93,2.7,2.51,0.9,0.72,1.79,0.0,1.79
2024-10-25,55,Development,0.944,3.46,3.27,0.0,0.0,3.27,5.06,0.0
2024-10-26,56,Development,0.958,3.3,3.16,0.0,0.0,3.16,0.0,3.16
2024-10-27,57,Development,0.971,3.1,3.01,0.0,0.0,3.01,0.0,6.17
2024-10-28,58,Development,0.985,2.76,2.72,0.0,0.0,2.72,8.89,0.0
2024-10-29,59,Development,0.999,1.36,1.36,0.9,0.72,0.64,0.0,0.64
2024-10-30,60,Development,1.012,2.71,2.74,1.9,1.52,1.22,1.86,0.0
2024-10-31,61,Development,1.026,2.5,2.57,0.9,0.72,1.85,0.0,1.85
2024-11-01,62,Development,1.04,3.16,3.29,0.1,0.08,3.21,5.06,0.0
2024-11-02,63,Development,1.054,3.27,3.45,1.3,1.04,2.41,0.0,2.41
2024-11-03,64,Development,1.067,3.03,3.23,0.2,0.16,3.07,0.0,5.48
2024-11-04,65,Development,1.081,2.55,2.76,2.7,2.16,0.6,6.08,0.0
2024-11-05,66,Development,1.095,2.46,2.69,5.0,4.0,0.0,0.0,0.0
2024-11-06,67,Development,1.109,2.65,2.94,3.4,2.72,0.22,0.0,0.22
2024-11-07,68,Development,1.123,2.52,2.83,0.5,0.4,2.43,2.65,0.0
2024-11-08,69,Development,1.136,3.01,3.42,1.1,0.88,2.54,0.0,2.54
2024-11-09,70,Development,1.15,2.65,3.05,0.4,0.32,2.73,0.0,5.27
2024-11-10,71,Mid-season,1.15,2.04,2.35,1.9,1.52,0.83,0.0,6.1
2024-11-11,72,Mid-season,1.15,1.47,1.69,6.5,5.2,0.0,2.59,0.0
2024-11-12,73,Mid-season,1.15,3.15,3.62,1.7,1.36,2.26,0.0,2.26
2024-11-13,74,Mid-season,1.15,2.71,3.12,0.3,0.24,2.88,0.0,5.14
2024-11-14,75,Mid-season,1.15,2.55,2.93,0.0,0.0,2.93,8.07,0.0
2024-11-15,76,Mid-season,1.15,2.66,3.06,0.0,0.0,3.06,0.0,3.06
2024-11-16,77,Mid-season,1.15,2.36,2.71,0.0,0.0,2.71,0.0,5.77
2024-11-17,78,Mid-season,1.15,1.21,1.39,0.1,0.08,1.31,0.0,7.08
2024-11-18,79,Mid-season,1.15,1.8,2.07,0.0,0.0,2.07,9.15,0.0
2024-11-19,80,Mid-season,1.15,2.08,2.39,0.0,0.0,2.39,0.0,2.39
2024-11-20,81,Mid-season,1.15,1.98,2.28,0.0,0.0,2.28,0.0,4.67
2024-11-21,82,Mid-season,1.15,2.19,2.52,3.0,2.4,0.12,4.79,0.0
2024-11-22,83,Mid-season,1.15,2.34,2.69,0.0,0.0,2.69,0.0,2.69
2024-11-23,84,Mid-season,1.15,2.26,2.6,0.0,0.0,2.6,0.0,5.29
2024-11-24,85,Mid-season,1.15,2.2,2.53,0.0,0.0,2.53,0.0,7.82
2024-11-25,86,Mid-season,1.15,1.54,1.77,0.0,0.0,1.77,9.59,0.0
2024-11-26,87,Mid-season,1.15,2.46,2.83,0.0,0.0,2.83,0.0,2.83
2024-11-27,88,Mid-season,1.15,2.42,2.78,0.2,0.16,2.62,5.45,0.0
2024-11-28,89,Mid-season,1.15,2.6,2.99,0.2,0.16,2.83,0.0,2.83
2024-11-29,90,Mid-season,1.15,2.4,2.76,2.2,1.76,1.0,3.83,0.0
2024-11-30,91,Mid-season,1.15,2.45,2.82,0.6,0.48,2.34,0.0,2.34
2024-12-01,92,Mid-season,1.15,1.75,2.01,0.9,0.72,1.29,0.0,3.63
2024-12-02,93,Mid-season,1.15,2.16,2.48,0.1,0.08,2.4,6.03,0.0
2024-12-03,94,Mid-season,1.15,1.94,2.23,0.0,0.0,2.23,0.0,2.23
2024-12-04,95,Mid-season,1.15,1.75,2.01,0.1,0.08,1.93,0.0,4.16
2024-12-05,96,Mid-season,1.15,1.59,1.83,0.0,0.0,1.83,5.99,0.0
2024-12-06,97,Mid-season,1.15,2.0,2.3,0.0,0.0,2.3,0.0,2.3
2024-12-07,98,Mid-season,1.15,2.2,2.53,0.5,0.4,2.13,0.0,4.43
2024-12-08,99,Mid-season,1.15,2.1,2.42,0.0,0.0,2.42,0.0,6.85
2024-12-09,100,Mid-season,1.15,2.06,2.37,0.0,0.0,2.37,9.22,0.0
2024-12-10,101,Mid-season,1.15,2.14,2.46,0.0,0.0,2.46,0.0,2.46
2024-12-11,102,Mid-season,1.15,2.24,2.58,0.0,0.0,2.58,0.0,5.04
2024-12-12,103,Mid-season,1.15,1.07,1.23,1.1,0.88,0.35,5.39,0.0
2024-12-13,104,Mid-season,1.15,1.15,1.32,2.0,1.6,0.0,0.0,0.0
2024-12-14,105,Mid-season,1.15,2.12,2.44,2.1,1.68,0.76,0.0,0.76
2024-12-15,106,Mid-season,1.15,1.84,2.12,6.4,5.12,0.0,0.0,0.0
2024-12-16,107,Mid-season,1.15,1.89,2.17,4.2,3.36,0.0,0.0,0.0
2024-12-17,108,Mid-season,1.15,2.41,2.77,2.2,1.76,1.01,0.0,1.01
2024-12-18,109,Mid-season,1.15,2.41,2.77,1.2,0.96,1.81,0.0,2.82
2024-12-19,110,Mid-season,1.15,1.86,2.14,2.5,2.0,0.14,2.96,0.0
2024-12-20,111,Late,1.136,2.33,2.65,0.0,0.0,2.65,0.0,2.65
2024-12-21,112,Late,1.122,2.15,2.41,0.2,0.16,2.25,0.0,4.9
2024-12-22,113,Late,1.108,1.97,2.18,0.0,0.0,2.18,0.0,7.08
2024-12-23,114,Late,1.094,1.66,1.82,0.0,0.0,1.82,8.9,0.0
2024-12-24,115,Late,1.08,1.85,2.0,1.7,1.36,0.64,0.0,0.64
2024-12-25,116,Late,1.066,1.58,1.68,0.2,0.16,1.52,0.0,2.16
2024-12-26,117,Late,1.052,1.52,1.6,0.0,0.0,1.6,3.76,0.0
2024-12-27,118,Late,1.038,1.25,1.3,0.4,0.32,0.98,0.0,0.98
2024-12-28,119,Late,1.024,1.03,1.05,11.4,9.12,0.0,0.0,0.0
2024-12-29,120,Late,1.01,1.08,1.09,0.4,0.32,0.77,0.0,0.77
2024-12-30,121,Late,0.996,1.9,1.89,0.0,0.0,1.89,2.66,0.0
2024-12-31,122,Late,0.982,1.85,1.82,0.8,0.64,1.18,0.0,1.18
