week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2019-09-01,2019-09-07,7,Initial,0.6,28.8,17.3,81.9,65.5,4.4,2,2.5,4.7,0.0
2019-09-08,2019-09-14,7,Initial,0.6,36.3,21.8,26.2,21.0,7.8,2,4.5,8.4,0.0
2019-09-15,2019-09-21,7,Initial,0.6,35.1,21.0,36.0,28.8,10.2,2,5.5,10.3,0.0
2019-09-22,2019-09-28,7,Initial,0.6,29.7,17.8,43.5,34.8,10.4,2,6.0,11.2,0.0
2019-09-29,2019-10-05,7,Development,0.629,34.1,21.4,16.5,13.2,9.7,2,5.5,10.3,0.0
2019-10-06,2019-10-12,7,Development,0.724,27.6,19.9,36.4,29.1,3.8,2,2.5,4.7,0.0
2019-10-13,2019-10-19,7,Development,0.82,29.1,23.7,4.1,3.3,20.4,3,7.5,21.0,0.0
2019-10-20,2019-10-26,7,Development,0.916,32.1,29.4,15.9,12.7,18.1,3,6.5,18.2,0.0
2019-10-27,2019-11-02,7,Development,1.012,30.6,31.0,6.9,5.5,25.5,4,7.0,26.1,0.0
2019-11-03,2019-11-09,7,Development,1.109,29.0,32.0,8.5,6.8,25.2,4,7.0,26.1,0.0
2019-11-10,2019-11-16,7,Mid-season,1.15,28.2,32.5,7.5,6.0,27.4,4,7.5,28.0,0.0
2019-11-17,2019-11-23,7,Mid-season,1.15,27.3,31.4,0.2,0.2,31.2,5,7.0,32.6,0.0
2019-11-24,2019-11-30,7,Mid-season,1.15,26.2,30.1,0.6,0.5,29.6,4,8.0,29.8,0.0
2019-12-01,2019-12-07,7,Mid-season,1.15,24.8,28.5,1.0,0.8,27.7,4,7.5,28.0,0.0
2019-12-08,2019-12-14,7,Mid-season,1.15,23.8,27.4,15.8,12.6,18.9,3,7.0,19.6,0.0
2019-12-15,2019-12-21,7,Mid-season,1.144,21.6,24.7,47.0,37.6,14.7,2,8.0,14.9,0.0
2019-12-22,2019-12-28,7,Late,1.066,20.7,22.0,29.0,23.2,12.6,2,7.0,13.0,0.0
2019-12-29,2020-01-04,7,Late,0.968,22.4,21.6,4.9,3.9,17.7,3,6.5,18.2,0.0
2020-01-05,2020-01-11,7,Late,0.87,29.3,25.4,2.9,2.3,23.1,4,6.5,24.2,0.0
2020-01-12,2020-01-13,2,Late,0.807,7.7,6.2,4.4,3.5,2.6,2,1.5,2.8,0.0
