date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2021-11-25,86,Mid-season,1.15,3.81,4.38,0.2,0.16,4.22
2021-11-26,87,Mid-season,1.15,2.75,3.16,0.7,0.56,2.6
2021-11-27,88,Mid-season,1.15,3.16,3.63,0.6,0.48,3.15
2021-11-28,89,Mid-season,1.15,2.83,3.25,0.2,0.16,3.09
2021-11-29,90,Mid-season,1.15,2.8,3.22,0.0,0.0,3.22
2021-11-30,91,Mid-season,1.15,3.39,3.9,0.0,0.0,3.9
2021-12-01,92,Mid-season,1.15,3.19,3.67,0.0,0.0,3.67
2021-12-02,93,Mid-season,1.15,3.08,3.54,0.0,0.0,3.54
2021-12-03,94,Mid-season,1.15,3.58,4.12,0.0,0.0,4.12
2021-12-04,95,Mid-season,1.15,3.54,4.07,0.4,0.32,3.75
2021-12-05,96,Mid-season,1.15,3.3,3.79,0.4,0.32,3.47
2021-12-06,97,Mid-season,1.15,2.56,2.94,5.3,4.24,0.0
2021-12-07,98,Mid-season,1.15,2.53,2.91,0.6,0.48,2.43
2021-12-08,99,Mid-season,1.15,2.77,3.19,0.3,0.24,2.95
2021-12-09,100,Mid-season,1.15,2.86,3.29,0.1,0.08,3.21
2021-12-10,101,Mid-season,1.15,3.38,3.89,0.0,0.0,3.89
2021-12-11,102,Mid-season,1.15,3.93,4.52,0.3,0.24,4.28
2021-12-12,103,Mid-season,1.15,3.57,4.11,0.4,0.32,3.79
2021-12-13,104,Mid-season,1.15,4.01,4.61,1.2,0.96,3.65
2021-12-14,105,Mid-season,1.15,3.51,4.04,2.4,1.92,2.12
2021-12-15,106,Mid-season,1.15,3.5,4.02,3.4,2.72,1.3
2021-12-16,107,Mid-season,1.15,4.47,5.14,0.3,0.24,4.9
2021-12-17,108,Mid-season,1.15,4.1,4.71,1.8,1.44,3.27
2021-12-18,109,Mid-season,1.15,3.31,3.81,6.7,5.36,0.0
2021-12-19,110,Mid-season,1.15,3.33,3.83,1.8,1.44,2.39
2021-12-20,111,Late,1.136,2.75,3.12,2.0,1.6,1.52
2021-12-21,112,Late,1.122,3.76,4.22,0.7,0.56,3.66
2021-12-22,113,Late,1.108,3.38,3.75,9.0,7.2,0.0
2021-12-23,114,Late,1.094,3.86,4.22,0.0,0.0,4.22
2021-12-24,115,Late,1.08,4.24,4.58,0.0,0.0,4.58
2021-12-25,116,Late,1.066,3.59,3.83,0.0,0.0,3.83
2021-12-26,117,Late,1.052,2.97,3.12,0.0,0.0,3.12
2021-12-27,118,Late,1.038,3.01,3.12,0.1,0.08,3.04
2021-12-28,119,Late,1.024,3.4,3.48,0.0,0.0,3.48
2021-12-29,120,Late,1.01,3.14,3.17,0.9,0.72,2.45
2021-12-30,121,Late,0.996,2.9,2.89,0.9,0.72,2.17
2021-12-31,122,Late,0.982,3.48,3.42,0.0,0.0,3.42
2022-01-01,123,Late,0.968,4.07,3.94,0.0,0.0,3.94
2022-01-02,124,Late,0.954,4.19,4.0,0.0,0.0,4.0
2022-01-03,125,Late,0.94,3.59,3.37,0.3,0.24,3.13
2022-01-04,126,Late,0.926,2.07,1.92,2.0,1.6,0.32
2022-01-05,127,Late,0.912,2.91,2.65,1.3,1.04,1.61
2022-01-06,128,Late,0.898,3.1,2.78,1.1,0.88,1.9
2022-01-07,129,Late,0.884,2.7,2.39,0.1,0.08,2.31
2022-01-08,130,Late,0.87,3.22,2.8,2.9,2.32,0.48
2022-01-09,131,Late,0.856,2.69,2.3,4.1,3.28,0.0
2022-01-10,132,Late,0.842,2.51,2.11,24.5,19.6,0.0
2022-01-11,133,Late,0.828,2.46,2.04,7.4,5.92,0.0
2022-01-12,134,Late,0.814,2.46,2.0,12.5,10.0,0.0
2022-01-13,135,Late,0.8,2.78,2.22,5.9,4.72,0.0
