week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2024-09-01,2024-09-07,7,Initial,0.3,30.2,9.1,22.1,17.7,4.0,2,2.5,4.7,0.0
2024-09-08,2024-09-14,7,Initial,0.3,25.3,7.6,48.9,39.1,0.0,0,0.0,0.0,0.0
2024-09-15,2024-09-21,7,Initial,0.3,21.3,6.4,50.9,40.7,0.1,2,0.5,0.9,0.0
2024-09-22,2024-09-28,7,Initial,0.3,26.2,7.9,16.7,13.4,3.3,2,2.0,3.7,0.0
2024-09-29,2024-10-05,7,Initial,0.3,28.6,8.6,6.1,4.9,4.9,2,3.0,5.6,0.0
2024-10-06,2024-10-12,7,Initial,0.3,19.3,5.8,82.7,66.2,0.7,2,0.5,0.9,0.0
2024-10-13,2024-10-19,7,Initial,0.3,15.8,4.7,51.9,41.5,1.3,2,1.0,1.9,0.0
2024-10-20,2024-10-26,7,Initial,0.3,23.0,6.9,4.6,3.7,4.2,2,2.5,4.7,0.0
2024-10-27,2024-11-02,7,Initial,0.305,18.9,5.8,5.1,4.1,2.7,2,1.5,2.8,0.0
2024-11-03,2024-11-09,7,Development,0.339,18.9,6.4,13.3,10.6,2.1,2,1.5,2.8,0.0
2024-11-10,2024-11-16,7,Development,0.378,16.9,6.4,10.4,8.3,3.7,2,2.0,3.7,0.0
2024-11-17,2024-11-23,7,Development,0.417,13.9,5.8,3.1,2.5,4.8,2,3.0,5.6,0.0
2024-11-24,2024-11-30,7,Development,0.456,16.1,7.3,3.2,2.6,5.4,2,3.0,5.6,0.0
2024-12-01,2024-12-07,7,Development,0.494,13.4,6.6,1.6,1.3,5.3,2,3.0,5.6,0.0
2024-12-08,2024-12-14,7,Development,0.533,12.9,6.9,5.2,4.2,4.5,2,2.5,4.7,0.0
2024-12-15,2024-12-21,7,Development,0.572,14.9,8.5,16.7,13.4,2.9,2,2.0,3.7,0.0
2024-12-22,2024-12-28,7,Development,0.611,10.9,6.6,13.7,11.0,4.4,2,2.5,4.7,0.0
2024-12-29,2024-12-31,3,Development,0.639,4.8,3.1,1.2,1.0,2.1,2,1.5,2.8,0.0
