week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2023-09-01,2023-09-07,7,Initial,0.3,40.7,12.2,3.8,3.0,9.7,2,5.5,10.3,0.0
2023-09-08,2023-09-14,7,Initial,0.3,38.4,11.5,10.5,8.4,6.9,2,4.0,7.5,0.0
2023-09-15,2023-09-21,7,Initial,0.3,32.1,9.6,12.9,10.3,1.8,2,1.0,1.9,0.0
2023-09-22,2023-09-28,7,Initial,0.3,23.4,7.0,38.2,30.6,1.4,2,1.0,1.9,0.0
2023-09-29,2023-10-05,7,Initial,0.3,28.1,8.5,27.8,22.2,1.6,2,1.0,1.9,0.0
2023-10-06,2023-10-12,7,Initial,0.3,29.6,8.9,9.0,7.2,5.1,2,3.0,5.6,0.0
2023-10-13,2023-10-19,7,Initial,0.3,31.1,9.3,32.0,25.6,6.1,2,3.5,6.5,0.0
2023-10-20,2023-10-26,7,Initial,0.3,31.4,9.4,52.2,41.8,4.5,2,2.5,4.7,0.0
2023-10-27,2023-11-02,7,Initial,0.305,31.0,9.4,13.2,10.6,2.5,2,1.5,2.8,0.0
2023-11-03,2023-11-09,7,Development,0.339,26.0,8.9,15.1,12.1,6.5,2,3.5,6.5,0.0
2023-11-10,2023-11-16,7,Development,0.378,28.4,10.7,65.1,52.1,7.9,2,4.5,8.4,0.0
2023-11-17,2023-11-23,7,Development,0.417,24.4,10.2,6.3,5.0,8.3,2,4.5,8.4,0.0
2023-11-24,2023-11-30,7,Development,0.456,24.2,11.0,3.6,2.9,8.2,2,4.5,8.4,0.0
2023-12-01,2023-12-07,7,Development,0.494,23.8,11.8,1.1,0.9,10.9,2,6.0,11.2,0.0
2023-12-08,2023-12-14,7,Development,0.533,21.3,11.3,41.3,33.0,4.7,2,3.0,5.6,0.0
2023-12-15,2023-12-21,7,Development,0.572,21.7,12.5,72.5,58.0,7.8,2,4.5,8.4,0.0
2023-12-22,2023-12-28,7,Development,0.611,18.0,10.9,18.3,14.6,5.9,2,3.5,6.5,0.0
2023-12-29,2024-01-04,7,Development,0.65,15.4,10.0,3.3,2.6,8.7,2,5.0,9.3,0.0
2024-01-05,2024-01-11,7,Development,0.689,11.4,7.8,20.8,16.6,2.7,2,1.5,2.8,0.0
2024-01-12,2024-01-18,7,Development,0.728,15.1,11.0,17.1,13.7,6.7,2,4.0,7.5,0.0
2024-01-19,2024-01-25,7,Development,0.767,14.2,10.9,1.1,0.9,10.0,2,5.5,10.3,0.0
2024-01-26,2024-02-01,7,Mid-season,0.798,15.5,12.3,3.6,2.9,9.4,2,5.5,10.3,0.0
2024-02-02,2024-02-08,7,Mid-season,0.8,14.5,11.6,33.1,26.5,6.7,2,4.0,7.5,0.0
2024-02-09,2024-02-15,7,Mid-season,0.8,18.6,14.9,1.7,1.4,13.5,2,7.5,14.0,0.0
2024-02-16,2024-02-22,7,Mid-season,0.8,18.9,15.1,7.3,5.8,12.5,2,7.0,13.0,0.0
2024-02-23,2024-03-01,7,Mid-season,0.8,19.8,15.9,2.6,2.1,14.2,2,8.0,14.9,0.0
2024-03-02,2024-03-08,7,Mid-season,0.8,17.9,14.3,20.8,16.6,3.2,2,2.0,3.7,0.0
2024-03-09,2024-03-15,7,Mid-season,0.8,27.2,21.8,0.9,0.7,21.1,3,8.0,22.4,0.0
2024-03-16,2024-03-22,7,Mid-season,0.8,24.9,19.9,12.9,10.3,17.0,3,6.5,18.2,0.0
2024-03-23,2024-03-29,7,Mid-season,0.8,23.1,18.5,72.7,58.2,16.4,3,6.0,16.8,0.0
2024-03-30,2024-04-05,7,Mid-season,0.8,27.0,21.6,1.1,0.9,20.7,3,7.5,21.0,0.0
2024-04-06,2024-04-12,7,Mid-season,0.8,28.8,23.0,2.1,1.7,21.4,3,8.0,22.4,0.0
2024-04-13,2024-04-19,7,Mid-season,0.8,31.3,25.1,1.0,0.8,24.3,4,7.0,26.1,0.0
2024-04-20,2024-04-26,7,Mid-season,0.8,31.7,25.4,1.0,0.8,24.6,4,7.0,26.1,0.0
2024-04-27,2024-05-03,7,Mid-season,0.8,29.2,23.4,12.5,10.0,14.9,3,5.5,15.4,0.0
2024-05-04,2024-05-10,7,Mid-season,0.8,35.2,28.2,6.3,5.0,23.1,4,6.5,24.2,0.0
2024-05-11,2024-05-17,7,Mid-season,0.8,34.6,27.7,9.2,7.4,20.4,3,7.5,21.0,0.0
2024-05-18,2024-05-24,7,Late,0.767,33.8,25.9,20.6,16.5,14.3,2,8.0,14.9,0.0
2024-05-25,2024-05-31,7,Late,0.708,34.3,24.3,5.2,4.2,20.4,3,7.5,21.0,0.0
