date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_target_mm,swd_mm
2020-09-01,1,Initial,0.3,6.67,2.0,0.0,0.0,2.0,0.0,2.0
2020-09-02,2,Initial,0.3,6.34,1.9,1.0,0.8,1.1,0.0,3.1
2020-09-03,3,Initial,0.3,6.42,1.93,1.2,0.96,0.97,4.07,0.0
2020-09-04,4,Initial,0.3,6.59,1.98,0.0,0.0,1.98,0.0,1.98
2020-09-05,5,Initial,0.3,5.47,1.64,1.1,0.88,0.76,0.0,2.74
2020-09-06,6,Initial,0.3,3.27,0.98,9.0,7.2,0.0,0.0,0.0
2020-09-07,7,Initial,0.3,4.11,1.23,7.9,6.32,0.0,0.0,0.0
2020-09-08,8,Initial,0.3,2.98,0.89,12.1,9.68,0.0,0.0,0.0
2020-09-09,9,Initial,0.3,3.11,0.93,0.7,0.56,0.37,0.0,0.37
2020-09-10,10,Initial,0.3,5.48,1.64,1.3,1.04,0.6,0.97,0.0
2020-09-11,11,Initial,0.3,1.19,0.36,55.2,44.16,0.0,0.0,0.0
2020-09-12,12,Initial,0.3,2.47,0.74,7.9,6.32,0.0,0.0,0.0
2020-09-13,13,Initial,0.3,4.51,1.35,2.6,2.08,0.0,0.0,0.0
2020-09-14,14,Initial,0.3,5.11,1.53,1.3,1.04,0.49,0.49,0.0
2020-09-15,15,Initial,0.3,5.41,1.62,0.1,0.08,1.54,0.0,1.54
2020-09-16,16,Initial,0.3,5.37,1.61,0.5,0.4,1.21,0.0,2.75
2020-09-17,17,Initial,0.3,4.01,1.2,2.6,2.08,0.0,1.87,0.0
2020-09-18,18,Initial,0.3,4.65,1.4,1.6,1.28,0.11,0.0,0.12
2020-09-19,19,Initial,0.3,5.34,1.6,0.9,0.72,0.88,0.0,1.0
2020-09-20,20,Initial,0.3,4.48,1.34,0.8,0.64,0.7,0.0,1.7
2020-09-21,21,Initial,0.3,2.96,0.89,9.9,7.92,0.0,0.0,0.0
2020-09-22,22,Initial,0.3,6.89,2.07,0.1,0.08,1.99,0.0,1.99
2020-09-23,23,Initial,0.3,6.29,1.89,0.4,0.32,1.57,0.0,3.56
2020-09-24,24,Initial,0.3,5.5,1.65,1.7,1.36,0.29,3.85,0.0
2020-09-25,25,Initial,0.3,3.21,0.96,17.0,13.6,0.0,0.0,0.0
2020-09-26,26,Initial,0.3,4.15,1.25,9.9,7.92,0.0,0.0,0.0
2020-09-27,27,Initial,0.3,3.9,1.17,5.0,4.0,0.0,0.0,0.0
2020-09-28,28,Initial,0.3,4.68,1.4,1.3,1.04,0.36,0.36,0.0
2020-09-29,29,Initial,0.3,4.94,1.48,1.7,1.36,0.12,0.0,0.12
2020-09-30,30,Initial,0.3,3.21,0.96,3.7,2.96,0.0,0.0,0.0
2020-10-01,31,Initial,0.3,2.89,0.87,11.5,9.2,0.0,0.0,0.0
2020-10-02,32,Initial,0.3,3.53,1.06,12.4,9.92,0.0,0.0,0.0
2020-10-03,33,Initial,0.3,3.68,1.1,0.7,0.56,0.54,0.0,0.54
2020-10-04,34,Initial,0.3,5.08,1.52,0.4,0.32,1.2,0.0,1.74
2020-10-05,35,Initial,0.3,5.07,1.52,1.0,0.8,0.72,2.46,0.0
2020-10-06,36,Initial,0.3,5.3,1.59,1.0,0.8,0.79,0.0,0.79
2020-10-07,37,Initial,0.3,5.74,1.72,0.0,0.0,1.72,0.0,2.51
2020-10-08,38,Initial,0.3,5.58,1.67,0.3,0.24,1.43,3.94,0.0
2020-10-09,39,Initial,0.3,5.63,1.69,0.7,0.56,1.13,0.0,1.13
2020-10-10,40,Initial,0.3,4.13,1.24,12.2,9.76,0.0,0.0,0.0
2020-10-11,41,Initial,0.3,3.89,1.17,13.9,11.12,0.0,0.0,0.0
2020-10-12,42,Initial,0.3,2.76,0.83,5.1,4.08,0.0,0.0,0.0
2020-10-13,43,Initial,0.3,2.88,0.86,3.7,2.96,0.0,0.0,0.0
2020-10-14,44,Initial,0.3,4.27,1.28,1.4,1.12,0.16,0.0,0.16
2020-10-15,45,Initial,0.3,2.86,0.86,5.8,4.64,0.0,0.0,0.0
2020-10-16,46,Initial,0.3,2.13,0.64,11.3,9.04,0.0,0.0,0.0
2020-10-17,47,Initial,0.3,3.27,0.98,7.7,6.16,0.0,0.0,0.0
2020-10-18,48,Initial,0.3,2.37,0.71,10.4,8.32,0.0,0.0,0.0
2020-10-19,49,Initial,0.3,3.12,0.94,18.4,14.72,0.0,0.0,0.0
2020-10-20,50,Initial,0.3,3.23,0.97,4.7,3.76,0.0,0.0,0.0
2020-10-21,51,Initial,0.3,2.76,0.83,8.8,7.04,0.0,0.0,0.0
2020-10-22,52,Initial,0.3,4.32,1.3,0.2,0.16,1.14,1.14,0.0
2020-10-23,53,Initial,0.3,5.52,1.66,0.0,0.0,1.66,0.0,1.66
2020-10-24,54,Initial,0.3,2.25,0.67,18.5,14.8,0.0,0.0,0.0
2020-10-25,55,Initial,0.3,2.8,0.84,4.7,3.76,0.0,0.0,0.0
