date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2019-09-01,1,Initial,0.3,2.93,0.88,16.7,13.36,0.0
2019-09-02,2,Initial,0.3,2.36,0.71,18.7,14.96,0.0
2019-09-03,3,Initial,0.3,3.5,1.05,26.5,21.2,0.0
2019-09-04,4,Initial,0.3,4.74,1.42,13.7,10.96,0.0
2019-09-05,5,Initial,0.3,4.79,1.44,4.0,3.2,0.0
2019-09-06,6,Initial,0.3,5.4,1.62,0.5,0.4,1.22
2019-09-07,7,Initial,0.3,5.07,1.52,1.8,1.44,0.08
2019-09-08,8,Initial,0.3,5.06,1.52,0.8,0.64,0.88
2019-09-09,9,Initial,0.3,5.25,1.57,1.5,1.2,0.37
2019-09-10,10,Initial,0.3,5.82,1.75,1.9,1.52,0.23
2019-09-11,11,Initial,0.3,5.08,1.52,5.7,4.56,0.0
2019-09-12,12,Initial,0.3,5.54,1.66,2.5,2.0,0.0
2019-09-13,13,Initial,0.3,5.06,1.52,3.6,2.88,0.0
2019-09-14,14,Initial,0.3,4.47,1.34,10.2,8.16,0.0
2019-09-15,15,Initial,0.3,3.95,1.19,2.0,1.6,0.0
2019-09-16,16,Initial,0.3,3.92,1.18,18.1,14.48,0.0
2019-09-17,17,Initial,0.3,5.27,1.58,0.6,0.48,1.1
2019-09-18,18,Initial,0.3,5.32,1.6,0.4,0.32,1.28
2019-09-19,19,Initial,0.3,6.98,2.09,0.4,0.32,1.77
2019-09-20,20,Initial,0.3,5.72,1.72,7.8,6.24,0.0
2019-09-21,21,Initial,0.3,3.92,1.18,6.7,5.36,0.0
2019-09-22,22,Initial,0.3,2.06,0.62,25.0,20.0,0.0
2019-09-23,23,Initial,0.3,3.99,1.2,13.8,11.04,0.0
2019-09-24,24,Initial,0.3,5.08,1.52,0.5,0.4,1.12
2019-09-25,25,Initial,0.3,4.7,1.41,0.2,0.16,1.25
2019-09-26,26,Initial,0.3,3.85,1.16,1.6,1.28,0.0
2019-09-27,27,Initial,0.3,5.29,1.59,0.7,0.56,1.03
2019-09-28,28,Initial,0.3,4.7,1.41,1.7,1.36,0.05
2019-09-29,29,Initial,0.3,5.7,1.71,1.3,1.04,0.67
2019-09-30,30,Initial,0.3,6.06,1.82,3.1,2.48,0.0
2019-10-01,31,Initial,0.3,5.44,1.63,0.9,0.72,0.91
2019-10-02,32,Initial,0.3,3.85,1.16,4.9,3.92,0.0
2019-10-03,33,Initial,0.3,4.18,1.25,2.0,1.6,0.0
2019-10-04,34,Initial,0.3,4.14,1.24,2.2,1.76,0.0
2019-10-05,35,Initial,0.3,4.74,1.42,2.1,1.68,0.0
2019-10-06,36,Initial,0.3,5.3,1.59,2.3,1.84,0.0
2019-10-07,37,Initial,0.3,2.51,0.75,13.5,10.8,0.0
2019-10-08,38,Initial,0.3,4.39,1.32,5.0,4.0,0.0
2019-10-09,39,Initial,0.3,3.9,1.17,2.2,1.76,0.0
