date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2018-09-01,1,Initial,0.6,5.03,3.02,4.3,3.44,0.0
2018-09-02,2,Initial,0.6,4.37,2.62,10.1,8.08,0.0
2018-09-03,3,Initial,0.6,4.41,2.65,12.3,9.84,0.0
2018-09-04,4,Initial,0.6,5.85,3.51,2.2,1.76,1.75
2018-09-05,5,Initial,0.6,5.63,3.38,4.6,3.68,0.0
2018-09-06,6,Initial,0.6,3.6,2.16,18.5,14.8,0.0
2018-09-07,7,Initial,0.6,4.2,2.52,9.4,7.52,0.0
2018-09-08,8,Initial,0.6,3.01,1.81,2.7,2.16,0.0
2018-09-09,9,Initial,0.6,3.98,2.39,2.3,1.84,0.55
2018-09-10,10,Initial,0.6,4.14,2.48,1.5,1.2,1.28
2018-09-11,11,Initial,0.6,5.48,3.29,1.6,1.28,2.01
2018-09-12,12,Initial,0.6,5.03,3.02,4.7,3.76,0.0
2018-09-13,13,Initial,0.6,3.94,2.36,3.7,2.96,0.0
2018-09-14,14,Initial,0.6,4.53,2.72,1.9,1.52,1.2
2018-09-15,15,Initial,0.6,5.32,3.19,2.8,2.24,0.95
2018-09-16,16,Initial,0.6,5.72,3.43,0.0,0.0,3.43
2018-09-17,17,Initial,0.6,5.51,3.31,0.1,0.08,3.23
2018-09-18,18,Initial,0.6,5.03,3.02,1.5,1.2,1.82
2018-09-19,19,Initial,0.6,4.17,2.5,3.8,3.04,0.0
2018-09-20,20,Initial,0.6,4.15,2.49,4.4,3.52,0.0
2018-09-21,21,Initial,0.6,5.15,3.09,1.6,1.28,1.81
2018-09-22,22,Initial,0.6,4.95,2.97,1.4,1.12,1.85
2018-09-23,23,Initial,0.6,5.23,3.14,1.4,1.12,2.02
2018-09-24,24,Initial,0.6,5.12,3.07,1.9,1.52,1.55
2018-09-25,25,Initial,0.6,5.92,3.55,1.1,0.88,2.67
2018-09-26,26,Initial,0.6,6.04,3.62,0.6,0.48,3.14
2018-09-27,27,Initial,0.6,6.17,3.7,0.1,0.08,3.62
2018-09-28,28,Initial,0.6,5.99,3.59,0.7,0.56,3.03
2018-09-29,29,Initial,0.6,5.11,3.07,4.2,3.36,0.0
2018-09-30,30,Initial,0.6,5.36,3.22,2.2,1.76,1.46
2018-10-01,31,Development,0.614,5.97,3.66,0.9,0.72,2.94
2018-10-02,32,Development,0.627,5.12,3.21,1.8,1.44,1.77
2018-10-03,33,Development,0.641,6.18,3.96,0.7,0.56,3.4
2018-10-04,34,Development,0.655,4.23,2.77,5.3,4.24,0.0
2018-10-05,35,Development,0.669,6.29,4.21,0.1,0.08,4.13
2018-10-06,36,Development,0.682,6.43,4.39,0.7,0.56,3.83
2018-10-07,37,Development,0.696,5.5,3.83,1.6,1.28,2.55
2018-10-08,38,Development,0.71,5.25,3.73,1.5,1.2,2.53
2018-10-09,39,Development,0.724,4.63,3.35,1.8,1.44,1.91
2018-10-10,40,Development,0.737,4.21,3.1,8.2,6.56,0.0
2018-10-11,41,Development,0.751,3.9,2.93,13.2,10.56,0.0
2018-10-12,42,Development,0.765,3.4,2.6,7.1,5.68,0.0
2018-10-13,43,Development,0.779,3.2,2.49,6.4,5.12,0.0
2018-10-14,44,Development,0.792,4.86,3.85,0.0,0.0,3.85
2018-10-15,45,Development,0.806,5.37,4.33,0.4,0.32,4.01
2018-10-16,46,Development,0.82,5.58,4.58,1.3,1.04,3.54
2018-10-17,47,Development,0.834,5.46,4.55,1.0,0.8,3.75
2018-10-18,48,Development,0.847,5.61,4.75,0.0,0.0,4.75
2018-10-19,49,Development,0.861,5.71,4.92,0.0,0.0,4.92
2018-10-20,50,Development,0.875,3.37,2.95,3.4,2.72,0.23
2018-10-21,51,Development,0.889,4.21,3.74,2.6,2.08,1.66
2018-10-22,52,Development,0.902,4.34,3.92,3.4,2.72,1.2
2018-10-23,53,Development,0.916,3.41,3.12,5.5,4.4,0.0
2018-10-24,54,Development,0.93,3.82,3.55,1.2,0.96,2.59
2018-10-25,55,Development,0.944,4.14,3.91,2.9,2.32,1.59
2018-10-26,56,Development,0.958,4.17,3.99,0.7,0.56,3.43
2018-10-27,57,Development,0.971,4.38,4.25,1.0,0.8,3.45
2018-10-28,58,Development,0.985,3.49,3.44,2.6,2.08,1.36
2018-10-29,59,Development,0.999,4.83,4.82,0.0,0.0,4.82
2018-10-30,60,Development,1.012,5.36,5.43,0.0,0.0,5.43
2018-10-31,61,Development,1.026,5.71,5.86,0.0,0.0,5.86
2018-11-01,62,Development,1.04,4.93,5.13,1.1,0.88,4.25
2018-11-02,63,Development,1.054,3.98,4.19,0.7,0.56,3.63
2018-11-03,64,Development,1.067,3.21,3.43,3.5,2.8,0.63
2018-11-04,65,Development,1.081,4.58,4.95,1.2,0.96,3.99
2018-11-05,66,Development,1.095,4.86,5.32,0.3,0.24,5.08
2018-11-06,67,Development,1.109,3.99,4.42,0.1,0.08,4.34
2018-11-07,68,Development,1.123,4.21,4.73,0.7,0.56,4.17
2018-11-08,69,Development,1.136,4.35,4.94,1.2,0.96,3.98
2018-11-09,70,Development,1.15,4.19,4.82,0.0,0.0,4.82
2018-11-10,71,Mid-season,1.15,3.66,4.21,0.7,0.56,3.65
2018-11-11,72,Mid-season,1.15,4.28,4.92,0.1,0.08,4.84
2018-11-12,73,Mid-season,1.15,4.94,5.68,0.6,0.48,5.2
2018-11-13,74,Mid-season,1.15,4.0,4.6,0.5,0.4,4.2
2018-11-14,75,Mid-season,1.15,4.36,5.01,1.4,1.12,3.89
2018-11-15,76,Mid-season,1.15,3.01,3.46,1.5,1.2,2.26
2018-11-16,77,Mid-season,1.15,2.69,3.09,2.5,2.0,1.09
2018-11-17,78,Mid-season,1.15,4.77,5.49,0.0,0.0,5.49
2018-11-18,79,Mid-season,1.15,4.67,5.37,0.0,0.0,5.37
2018-11-19,80,Mid-season,1.15,3.66,4.21,0.1,0.08,4.13
2018-11-20,81,Mid-season,1.15,3.67,4.22,0.4,0.32,3.9
2018-11-21,82,Mid-season,1.15,3.15,3.62,0.4,0.32,3.3
2018-11-22,83,Mid-season,1.15,3.34,3.84,0.6,0.48,3.36
2018-11-23,84,Mid-season,1.15,3.36,3.86,1.3,1.04,2.82
2018-11-24,85,Mid-season,1.15,3.63,4.17,0.0,0.0,4.17
2018-11-25,86,Mid-season,1.15,2.65,3.05,1.4,1.12,1.93
2018-11-26,87,Mid-season,1.15,3.48,4.0,0.0,0.0,4.0
2018-11-27,88,Mid-season,1.15,3.74,4.3,4.8,3.84,0.46
2018-11-28,89,Mid-season,1.15,4.28,4.92,0.0,0.0,4.92
2018-11-29,90,Mid-season,1.15,3.41,3.92,0.0,0.0,3.92
2018-11-30,91,Mid-season,1.15,3.77,4.34,0.0,0.0,4.34
2018-12-01,92,Mid-season,1.15,3.71,4.27,0.6,0.48,3.79
2018-12-02,93,Mid-season,1.15,3.8,4.37,1.6,1.28,3.09
2018-12-03,94,Mid-season,1.15,3.43,3.94,0.0,0.0,3.94
2018-12-04,95,Mid-season,1.15,3.15,3.62,0.0,0.0,3.62
2018-12-05,96,Mid-season,1.15,3.13,3.6,3.8,3.04,0.56
2018-12-06,97,Mid-season,1.15,4.76,5.47,0.0,0.0,5.47
2018-12-07,98,Mid-season,1.15,4.77,5.49,0.0,0.0,5.49
2018-12-08,99,Mid-season,1.15,2.99,3.44,1.3,1.04,2.4
2018-12-09,100,Mid-season,1.15,4.03,4.63,0.5,0.4,4.23
2018-12-10,101,Mid-season,1.15,2.66,3.06,0.7,0.56,2.5
2018-12-11,102,Mid-season,1.15,3.74,4.3,0.6,0.48,3.82
2018-12-12,103,Mid-season,1.15,4.57,5.26,0.1,0.08,5.18
2018-12-13,104,Mid-season,1.15,4.03,4.63,0.1,0.08,4.55
2018-12-14,105,Mid-season,1.15,3.38,3.89,0.3,0.24,3.65
