date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2018-09-01,1,Initial,0.3,5.03,1.51,4.3,3.44,0.0
2018-09-02,2,Initial,0.3,4.37,1.31,10.1,8.08,0.0
2018-09-03,3,Initial,0.3,4.41,1.32,12.3,9.84,0.0
2018-09-04,4,Initial,0.3,5.85,1.75,2.2,1.76,0.0
2018-09-05,5,Initial,0.3,5.63,1.69,4.6,3.68,0.0
2018-09-06,6,Initial,0.3,3.6,1.08,18.5,14.8,0.0
2018-09-07,7,Initial,0.3,4.2,1.26,9.4,7.52,0.0
2018-09-08,8,Initial,0.3,3.01,0.9,2.7,2.16,0.0
2018-09-09,9,Initial,0.3,3.98,1.19,2.3,1.84,0.0
2018-09-10,10,Initial,0.3,4.14,1.24,1.5,1.2,0.04
2018-09-11,11,Initial,0.3,5.48,1.64,1.6,1.28,0.36
2018-09-12,12,Initial,0.3,5.03,1.51,4.7,3.76,0.0
2018-09-13,13,Initial,0.3,3.94,1.18,3.7,2.96,0.0
2018-09-14,14,Initial,0.3,4.53,1.36,1.9,1.52,0.0
2018-09-15,15,Initial,0.3,5.32,1.6,2.8,2.24,0.0
2018-09-16,16,Initial,0.3,5.72,1.72,0.0,0.0,1.72
2018-09-17,17,Initial,0.3,5.51,1.65,0.1,0.08,1.57
2018-09-18,18,Initial,0.3,5.03,1.51,1.5,1.2,0.31
2018-09-19,19,Initial,0.3,4.17,1.25,3.8,3.04,0.0
2018-09-20,20,Initial,0.3,4.15,1.25,4.4,3.52,0.0
2018-09-21,21,Initial,0.3,5.15,1.55,1.6,1.28,0.26
2018-09-22,22,Initial,0.3,4.95,1.49,1.4,1.12,0.37
2018-09-23,23,Initial,0.3,5.23,1.57,1.4,1.12,0.45
2018-09-24,24,Initial,0.3,5.12,1.54,1.9,1.52,0.02
2018-09-25,25,Initial,0.3,5.92,1.78,1.1,0.88,0.9
2018-09-26,26,Initial,0.3,6.04,1.81,0.6,0.48,1.33
2018-09-27,27,Initial,0.3,6.17,1.85,0.1,0.08,1.77
2018-09-28,28,Initial,0.3,5.99,1.8,0.7,0.56,1.24
2018-09-29,29,Initial,0.3,5.11,1.53,4.2,3.36,0.0
2018-09-30,30,Initial,0.3,5.36,1.61,2.2,1.76,0.0
2018-10-01,31,Initial,0.3,5.97,1.79,0.9,0.72,1.07
2018-10-02,32,Initial,0.3,5.12,1.54,1.8,1.44,0.1
2018-10-03,33,Initial,0.3,6.18,1.85,0.7,0.56,1.29
2018-10-04,34,Initial,0.3,4.23,1.27,5.3,4.24,0.0
2018-10-05,35,Initial,0.3,6.29,1.89,0.1,0.08,1.81
2018-10-06,36,Initial,0.3,6.43,1.93,0.7,0.56,1.37
2018-10-07,37,Initial,0.3,5.5,1.65,1.6,1.28,0.37
2018-10-08,38,Initial,0.3,5.25,1.57,1.5,1.2,0.37
2018-10-09,39,Initial,0.3,4.63,1.39,1.8,1.44,0.0
2018-10-10,40,Initial,0.3,4.21,1.26,8.2,6.56,0.0
2018-10-11,41,Initial,0.3,3.9,1.17,13.2,10.56,0.0
2018-10-12,42,Initial,0.3,3.4,1.02,7.1,5.68,0.0
2018-10-13,43,Initial,0.3,3.2,0.96,6.4,5.12,0.0
2018-10-14,44,Initial,0.3,4.86,1.46,0.0,0.0,1.46
2018-10-15,45,Initial,0.3,5.37,1.61,0.4,0.32,1.29
2018-10-16,46,Initial,0.3,5.58,1.67,1.3,1.04,0.63
2018-10-17,47,Initial,0.3,5.46,1.64,1.0,0.8,0.84
2018-10-18,48,Initial,0.3,5.61,1.68,0.0,0.0,1.68
2018-10-19,49,Initial,0.3,5.71,1.71,0.0,0.0,1.71
2018-10-20,50,Initial,0.3,3.37,1.01,3.4,2.72,0.0
2018-10-21,51,Initial,0.3,4.21,1.26,2.6,2.08,0.0
2018-10-22,52,Initial,0.3,4.34,1.3,3.4,2.72,0.0
2018-10-23,53,Initial,0.3,3.41,1.02,5.5,4.4,0.0
2018-10-24,54,Initial,0.3,3.82,1.15,1.2,0.96,0.19
2018-10-25,55,Initial,0.3,4.14,1.24,2.9,2.32,0.0
2018-10-26,56,Initial,0.3,4.17,1.25,0.7,0.56,0.69
2018-10-27,57,Initial,0.3,4.38,1.31,1.0,0.8,0.51
2018-10-28,58,Initial,0.3,3.49,1.05,2.6,2.08,0.0
2018-10-29,59,Initial,0.3,4.83,1.45,0.0,0.0,1.45
2018-10-30,60,Initial,0.3,5.36,1.61,0.0,0.0,1.61
2018-10-31,61,Development,0.306,5.71,1.74,0.0,0.0,1.74
2018-11-01,62,Development,0.311,4.93,1.53,1.1,0.88,0.65
2018-11-02,63,Development,0.317,3.98,1.26,0.7,0.56,0.7
2018-11-03,64,Development,0.322,3.21,1.03,3.5,2.8,0.0
2018-11-04,65,Development,0.328,4.58,1.5,1.2,0.96,0.54
2018-11-05,66,Development,0.333,4.86,1.62,0.3,0.24,1.38
2018-11-06,67,Development,0.339,3.99,1.35,0.1,0.08,1.27
2018-11-07,68,Development,0.344,4.21,1.45,0.7,0.56,0.89
2018-11-08,69,Development,0.35,4.35,1.52,1.2,0.96,0.56
2018-11-09,70,Development,0.356,4.19,1.49,0.0,0.0,1.49
2018-11-10,71,Development,0.361,3.66,1.32,0.7,0.56,0.76
2018-11-11,72,Development,0.367,4.28,1.57,0.1,0.08,1.49
2018-11-12,73,Development,0.372,4.94,1.84,0.6,0.48,1.36
2018-11-13,74,Development,0.378,4.0,1.51,0.5,0.4,1.11
2018-11-14,75,Development,0.383,4.36,1.67,1.4,1.12,0.55
2018-11-15,76,Development,0.389,3.01,1.17,1.5,1.2,0.0
2018-11-16,77,Development,0.394,2.69,1.06,2.5,2.0,0.0
2018-11-17,78,Development,0.4,4.77,1.91,0.0,0.0,1.91
2018-11-18,79,Development,0.406,4.67,1.89,0.0,0.0,1.89
2018-11-19,80,Development,0.411,3.66,1.5,0.1,0.08,1.42
2018-11-20,81,Development,0.417,3.67,1.53,0.4,0.32,1.21
2018-11-21,82,Development,0.422,3.15,1.33,0.4,0.32,1.01
2018-11-22,83,Development,0.428,3.34,1.43,0.6,0.48,0.95
2018-11-23,84,Development,0.433,3.36,1.46,1.3,1.04,0.42
2018-11-24,85,Development,0.439,3.63,1.59,0.0,0.0,1.59
2018-11-25,86,Development,0.444,2.65,1.18,1.4,1.12,0.06
2018-11-26,87,Development,0.45,3.48,1.57,0.0,0.0,1.57
2018-11-27,88,Development,0.456,3.74,1.7,4.8,3.84,0.0
2018-11-28,89,Development,0.461,4.28,1.97,0.0,0.0,1.97
2018-11-29,90,Development,0.467,3.41,1.59,0.0,0.0,1.59
2018-11-30,91,Development,0.472,3.77,1.78,0.0,0.0,1.78
2018-12-01,92,Development,0.478,3.71,1.77,0.6,0.48,1.29
2018-12-02,93,Development,0.483,3.8,1.84,1.6,1.28,0.56
2018-12-03,94,Development,0.489,3.43,1.68,0.0,0.0,1.68
2018-12-04,95,Development,0.494,3.15,1.56,0.0,0.0,1.56
2018-12-05,96,Development,0.5,3.13,1.56,3.8,3.04,0.0
2018-12-06,97,Development,0.506,4.76,2.41,0.0,0.0,2.41
2018-12-07,98,Development,0.511,4.77,2.44,0.0,0.0,2.44
2018-12-08,99,Development,0.517,2.99,1.54,1.3,1.04,0.5
2018-12-09,100,Development,0.522,4.03,2.1,0.5,0.4,1.7
2018-12-10,101,Development,0.528,2.66,1.4,0.7,0.56,0.84
2018-12-11,102,Development,0.533,3.74,1.99,0.6,0.48,1.51
2018-12-12,103,Development,0.539,4.57,2.46,0.1,0.08,2.38
2018-12-13,104,Development,0.544,4.03,2.19,0.1,0.08,2.11
2018-12-14,105,Development,0.55,3.38,1.86,0.3,0.24,1.62
2018-12-15,106,Development,0.556,3.86,2.14,0.1,0.08,2.06
2018-12-16,107,Development,0.561,3.05,1.71,0.9,0.72,0.99
2018-12-17,108,Development,0.567,3.08,1.75,0.2,0.16,1.59
2018-12-18,109,Development,0.572,3.01,1.72,0.0,0.0,1.72
2018-12-19,110,Development,0.578,3.05,1.76,0.0,0.0,1.76
2018-12-20,111,Development,0.583,4.61,2.69,0.0,0.0,2.69
2018-12-21,112,Development,0.589,3.87,2.28,18.3,14.64,0.0
2018-12-22,113,Development,0.594,3.85,2.29,0.0,0.0,2.29
2018-12-23,114,Development,0.6,2.87,1.72,0.0,0.0,1.72
2018-12-24,115,Development,0.606,3.69,2.23,0.0,0.0,2.23
2018-12-25,116,Development,0.611,3.35,2.05,0.1,0.08,1.97
2018-12-26,117,Development,0.617,3.95,2.44,4.0,3.2,0.0
2018-12-27,118,Development,0.622,3.43,2.13,2.9,2.32,0.0
2018-12-28,119,Development,0.628,2.91,1.83,3.6,2.88,0.0
2018-12-29,120,Development,0.633,3.39,2.15,0.0,0.0,2.15
2018-12-30,121,Development,0.639,4.11,2.63,0.0,0.0,2.63
2018-12-31,122,Development,0.644,3.28,2.11,0.3,0.24,1.87
2019-01-01,123,Development,0.65,4.08,2.65,0.0,0.0,2.65
2019-01-02,124,Development,0.656,3.63,2.38,0.4,0.32,2.06
2019-01-03,125,Development,0.661,3.86,2.55,0.0,0.0,2.55
2019-01-04,126,Development,0.667,3.56,2.37,0.1,0.08,2.29
2019-01-05,127,Development,0.672,2.77,1.86,0.7,0.56,1.3
2019-01-06,128,Development,0.678,3.35,2.27,0.0,0.0,2.27
2019-01-07,129,Development,0.683,3.9,2.67,0.0,0.0,2.67
2019-01-08,130,Development,0.689,3.03,2.09,0.9,0.72,1.37
2019-01-09,131,Development,0.694,3.47,2.41,0.0,0.0,2.41
2019-01-10,132,Development,0.7,3.95,2.77,0.0,0.0,2.77
2019-01-11,133,Development,0.706,4.17,2.94,0.0,0.0,2.94
2019-01-12,134,Development,0.711,4.03,2.87,0.8,0.64,2.23
2019-01-13,135,Development,0.717,3.02,2.16,2.7,2.16,0.0
2019-01-14,136,Development,0.722,3.0,2.17,0.0,0.0,2.17
2019-01-15,137,Development,0.728,2.7,1.97,1.8,1.44,0.52
2019-01-16,138,Development,0.733,3.3,2.42,0.5,0.4,2.02
2019-01-17,139,Development,0.739,3.76,2.78,0.2,0.16,2.62
2019-01-18,140,Development,0.744,3.85,2.87,0.0,0.0,2.87
2019-01-19,141,Development,0.75,3.98,2.98,0.0,0.0,2.98
2019-01-20,142,Development,0.756,2.93,2.21,3.0,2.4,0.0
2019-01-21,143,Development,0.761,4.35,3.31,0.0,0.0,3.31
