date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_target_mm,swd_mm
2023-09-01,1,Initial,0.3,5.2,1.56,1.4,1.12,0.44,0.0,0.44
2023-09-02,2,Initial,0.3,6.38,1.91,0.1,0.08,1.83,0.0,2.27
2023-09-03,3,Initial,0.3,3.91,1.17,2.2,1.76,0.0,0.0,1.68
2023-09-04,4,Initial,0.3,7.18,2.15,0.0,0.0,2.15,3.83,0.0
2023-09-05,5,Initial,0.3,6.76,2.03,0.0,0.0,2.03,0.0,2.03
2023-09-06,6,Initial,0.3,5.81,1.74,0.0,0.0,1.74,0.0,3.77
2023-09-07,7,Initial,0.3,5.42,1.63,0.1,0.08,1.55,5.32,0.0
2023-09-08,8,Initial,0.3,5.06,1.52,5.2,4.16,0.0,0.0,0.0
2023-09-09,9,Initial,0.3,5.0,1.5,3.3,2.64,0.0,0.0,0.0
2023-09-10,10,Initial,0.3,3.96,1.19,0.9,0.72,0.47,0.0,0.47
2023-09-11,11,Initial,0.3,6.07,1.82,0.0,0.0,1.82,2.29,0.0
2023-09-12,12,Initial,0.3,6.19,1.86,0.4,0.32,1.54,0.0,1.54
2023-09-13,13,Initial,0.3,6.01,1.8,0.7,0.56,1.24,0.0,2.78
2023-09-14,14,Initial,0.3,6.15,1.84,0.0,0.0,1.84,4.62,0.0
2023-09-15,15,Initial,0.3,4.92,1.48,1.4,1.12,0.36,0.0,0.36
2023-09-16,16,Initial,0.3,3.98,1.19,1.0,0.8,0.39,0.0,0.75
2023-09-17,17,Initial,0.3,5.49,1.65,0.7,0.56,1.09,0.0,1.84
2023-09-18,18,Initial,0.3,4.37,1.31,3.0,2.4,0.0,0.75,0.0
2023-09-19,19,Initial,0.3,4.14,1.24,3.1,2.48,0.0,0.0,0.0
2023-09-20,20,Initial,0.3,4.42,1.33,1.8,1.44,0.0,0.0,0.0
2023-09-21,21,Initial,0.3,4.8,1.44,1.9,1.52,0.0,0.0,0.0
2023-09-22,22,Initial,0.3,2.61,0.78,7.3,5.84,0.0,0.0,0.0
2023-09-23,23,Initial,0.3,2.87,0.86,15.6,12.48,0.0,0.0,0.0
2023-09-24,24,Initial,0.3,4.36,1.31,1.1,0.88,0.43,0.0,0.43
2023-09-25,25,Initial,0.3,4.78,1.43,0.6,0.48,0.95,1.38,0.0
2023-09-26,26,Initial,0.3,3.07,0.92,2.1,1.68,0.0,0.0,0.0
2023-09-27,27,Initial,0.3,2.85,0.85,3.2,2.56,0.0,0.0,0.0
2023-09-28,28,Initial,0.3,2.84,0.85,8.3,6.64,0.0,0.0,0.0
2023-09-29,29,Initial,0.3,4.56,1.37,4.2,3.36,0.0,0.0,0.0
2023-09-30,30,Initial,0.3,3.29,0.99,1.7,1.36,0.0,0.0,0.0
2023-10-01,31,Initial,0.3,4.49,1.35,0.5,0.4,0.95,0.0,0.95
2023-10-02,32,Initial,0.3,2.42,0.73,13.0,10.4,0.0,0.0,0.0
2023-10-03,33,Initial,0.3,4.27,1.28,4.0,3.2,0.0,0.0,0.0
2023-10-04,34,Initial,0.3,4.62,1.39,0.9,0.72,0.67,0.0,0.67
2023-10-05,35,Initial,0.3,4.5,1.35,3.5,2.8,0.0,0.0,0.0
2023-10-06,36,Initial,0.3,3.53,1.06,0.2,0.16,0.9,0.0,0.9
2023-10-07,37,Initial,0.3,4.29,1.29,0.1,0.08,1.21,0.0,2.11
2023-10-08,38,Initial,0.3,4.73,1.42,0.0,0.0,1.42,0.0,3.53
2023-10-09,39,Initial,0.3,4.19,1.26,1.2,0.96,0.3,3.83,0.0
2023-10-10,40,Initial,0.3,4.39,1.32,3.2,2.56,0.0,0.0,0.0
2023-10-11,41,Initial,0.3,3.62,1.09,4.1,3.28,0.0,0.0,0.0
2023-10-12,42,Initial,0.3,4.8,1.44,0.2,0.16,1.28,1.28,0.0
2023-10-13,43,Initial,0.3,5.09,1.53,0.0,0.0,1.53,0.0,1.53
2023-10-14,44,Initial,0.3,4.91,1.47,0.7,0.56,0.91,0.0,2.44
2023-10-15,45,Initial,0.3,3.2,0.96,28.7,22.96,0.0,0.0,0.0
2023-10-16,46,Initial,0.3,4.52,1.36,2.2,1.76,0.0,0.0,0.0
2023-10-17,47,Initial,0.3,3.43,1.03,0.3,0.24,0.79,0.0,0.79
2023-10-18,48,Initial,0.3,4.99,1.5,0.0,0.0,1.5,0.0,2.29
2023-10-19,49,Initial,0.3,4.94,1.48,0.1,0.08,1.4,3.69,0.0
2023-10-20,50,Initial,0.3,1.79,0.54,46.7,37.36,0.0,0.0,0.0
2023-10-21,51,Initial,0.3,4.2,1.26,0.0,0.0,1.26,0.0,1.26
2023-10-22,52,Initial,0.3,3.4,1.02,0.0,0.0,1.02,0.0,2.28
2023-10-23,53,Initial,0.3,4.71,1.41,0.0,0.0,1.41,3.69,0.0
2023-10-24,54,Initial,0.3,5.71,1.71,1.6,1.28,0.43,0.0,0.43
2023-10-25,55,Initial,0.3,5.56,1.67,2.0,1.6,0.07,0.0,0.5
2023-10-26,56,Initial,0.3,6.02,1.81,1.9,1.52,0.29,0.79,0.0
2023-10-27,57,Initial,0.3,5.68,1.7,0.6,0.48,1.22,0.0,1.22
2023-10-28,58,Initial,0.3,5.32,1.6,1.8,1.44,0.16,0.0,1.38
2023-10-29,59,Initial,0.3,4.36,1.31,2.4,1.92,0.0,0.0,0.77
2023-10-30,60,Initial,0.3,3.83,1.15,3.0,2.4,0.0,0.0,0.0
2023-10-31,61,Development,0.306,3.86,1.18,0.2,0.16,1.02,0.0,1.02
