week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2019-09-01,2019-09-07,7,Initial,0.3,28.8,8.6,81.9,65.5,1.3,2,1.0,1.9,0.0
2019-09-08,2019-09-14,7,Initial,0.3,36.3,10.9,26.2,21.0,1.5,2,1.0,1.9,0.0
2019-09-15,2019-09-21,7,Initial,0.3,35.1,10.5,36.0,28.8,4.2,2,2.5,4.7,0.0
2019-09-22,2019-09-28,7,Initial,0.3,29.7,8.9,43.5,34.8,3.5,2,2.0,3.7,0.0
2019-09-29,2019-10-05,7,Initial,0.3,34.1,10.2,16.5,13.2,1.6,2,1.0,1.9,0.0
2019-10-06,2019-10-12,7,Initial,0.3,27.6,8.3,36.4,29.1,0.0,0,0.0,0.0,0.0
2019-10-13,2019-10-19,7,Initial,0.3,29.1,8.7,4.1,3.3,5.8,2,3.5,6.5,0.0
2019-10-20,2019-10-26,7,Initial,0.3,32.1,9.6,15.9,12.7,4.7,2,3.0,5.6,0.0
2019-10-27,2019-11-02,7,Initial,0.305,30.6,9.3,6.9,5.5,5.1,2,3.0,5.6,0.0
2019-11-03,2019-11-09,7,Development,0.339,29.0,9.8,8.5,6.8,4.4,2,2.5,4.7,0.0
2019-11-10,2019-11-16,7,Development,0.378,28.2,10.6,7.5,6.0,8.3,2,4.5,8.4,0.0
2019-11-17,2019-11-23,7,Development,0.417,27.3,11.4,0.2,0.2,11.2,2,6.5,12.1,0.0
2019-11-24,2019-11-30,7,Development,0.456,26.2,11.9,0.6,0.5,11.5,2,6.5,12.1,0.0
2019-12-01,2019-12-07,7,Development,0.494,24.8,12.2,1.0,0.8,11.4,2,6.5,12.1,0.0
2019-12-08,2019-12-14,7,Development,0.533,23.8,12.7,15.8,12.6,7.3,2,4.0,7.5,0.0
2019-12-15,2019-12-21,7,Development,0.572,21.6,12.4,47.0,37.6,4.9,2,3.0,5.6,0.0
2019-12-22,2019-12-28,7,Development,0.611,20.7,12.6,29.0,23.2,4.9,2,3.0,5.6,0.0
2019-12-29,2020-01-04,7,Development,0.65,22.4,14.5,4.9,3.9,10.8,2,6.0,11.2,0.0
2020-01-05,2020-01-11,7,Development,0.689,29.3,20.2,2.9,2.3,17.9,3,6.5,18.2,0.0
2020-01-12,2020-01-18,7,Development,0.728,29.0,21.1,7.3,5.8,15.2,3,5.5,15.4,0.0
2020-01-19,2020-01-25,7,Development,0.767,25.9,19.9,2.0,1.6,18.3,3,7.0,19.6,0.0
2020-01-26,2020-02-01,7,Mid-season,0.798,20.0,16.0,17.7,14.2,9.8,2,5.5,10.3,0.0
2020-02-02,2020-02-08,7,Mid-season,0.8,27.4,21.9,3.2,2.6,19.4,3,7.0,19.6,0.0
2020-02-09,2020-02-15,7,Mid-season,0.8,28.7,23.0,9.6,7.7,15.9,3,6.0,16.8,0.0
2020-02-16,2020-02-22,7,Mid-season,0.8,32.0,25.6,5.7,4.6,21.0,3,8.0,22.4,0.0
2020-02-23,2020-03-01,7,Mid-season,0.8,34.0,27.2,6.9,5.5,22.4,4,6.5,24.2,0.0
2020-03-02,2020-03-08,7,Mid-season,0.8,37.0,29.6,1.4,1.1,28.4,4,8.0,29.8,0.0
2020-03-09,2020-03-15,7,Mid-season,0.8,38.2,30.6,5.0,4.0,26.6,4,7.5,28.0,0.0
2020-03-16,2020-03-22,7,Mid-season,0.8,40.6,32.5,0.5,0.4,32.1,5,7.0,32.6,0.0
2020-03-23,2020-03-29,7,Mid-season,0.8,36.9,29.5,1.9,1.5,28.0,4,8.0,29.8,0.0
2020-03-30,2020-04-05,7,Mid-season,0.8,38.6,30.9,2.2,1.8,29.1,4,8.0,29.8,0.0
2020-04-06,2020-04-12,7,Mid-season,0.8,33.9,27.1,16.8,13.4,15.7,3,6.0,16.8,0.0
2020-04-13,2020-04-19,7,Mid-season,0.8,39.9,31.9,12.7,10.2,21.7,3,8.0,22.4,0.0
2020-04-20,2020-04-26,7,Mid-season,0.8,40.2,32.2,18.1,14.5,18.1,3,6.5,18.2,0.0
2020-04-27,2020-05-03,7,Mid-season,0.8,39.7,31.8,15.2,12.2,24.4,4,7.0,26.1,0.0
2020-05-04,2020-05-10,7,Mid-season,0.8,38.4,30.7,73.9,59.1,26.7,4,7.5,28.0,0.0
2020-05-11,2020-05-17,7,Mid-season,0.8,29.9,23.9,89.7,71.8,11.1,2,6.0,11.2,0.0
2020-05-18,2020-05-24,7,Late,0.767,29.8,22.9,64.6,51.7,6.5,2,4.0,7.5,0.0
2020-05-25,2020-05-31,7,Late,0.708,34.8,24.5,30.5,24.4,15.0,3,5.5,15.4,0.0
