date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2023-09-01,1,Initial,0.6,5.2,3.12,1.4,1.12,2.0
2023-09-02,2,Initial,0.6,6.38,3.83,0.1,0.08,3.75
2023-09-03,3,Initial,0.6,3.91,2.35,2.2,1.76,0.59
2023-09-04,4,Initial,0.6,7.18,4.31,0.0,0.0,4.31
2023-09-05,5,Initial,0.6,6.76,4.06,0.0,0.0,4.06
2023-09-06,6,Initial,0.6,5.81,3.49,0.0,0.0,3.49
2023-09-07,7,Initial,0.6,5.42,3.25,0.1,0.08,3.17
2023-09-08,8,Initial,0.6,5.06,3.04,5.2,4.16,0.0
2023-09-09,9,Initial,0.6,5.0,3.0,3.3,2.64,0.36
2023-09-10,10,Initial,0.6,3.96,2.38,0.9,0.72,1.66
2023-09-11,11,Initial,0.6,6.07,3.64,0.0,0.0,3.64
2023-09-12,12,Initial,0.6,6.19,3.71,0.4,0.32,3.39
2023-09-13,13,Initial,0.6,6.01,3.61,0.7,0.56,3.05
2023-09-14,14,Initial,0.6,6.15,3.69,0.0,0.0,3.69
2023-09-15,15,Initial,0.6,4.92,2.95,1.4,1.12,1.83
2023-09-16,16,Initial,0.6,3.98,2.39,1.0,0.8,1.59
2023-09-17,17,Initial,0.6,5.49,3.29,0.7,0.56,2.73
2023-09-18,18,Initial,0.6,4.37,2.62,3.0,2.4,0.22
2023-09-19,19,Initial,0.6,4.14,2.48,3.1,2.48,0.0
2023-09-20,20,Initial,0.6,4.42,2.65,1.8,1.44,1.21
2023-09-21,21,Initial,0.6,4.8,2.88,1.9,1.52,1.36
2023-09-22,22,Initial,0.6,2.61,1.57,7.3,5.84,0.0
2023-09-23,23,Initial,0.6,2.87,1.72,15.6,12.48,0.0
2023-09-24,24,Initial,0.6,4.36,2.62,1.1,0.88,1.74
2023-09-25,25,Initial,0.6,4.78,2.87,0.6,0.48,2.39
2023-09-26,26,Initial,0.6,3.07,1.84,2.1,1.68,0.16
2023-09-27,27,Initial,0.6,2.85,1.71,3.2,2.56,0.0
2023-09-28,28,Initial,0.6,2.84,1.7,8.3,6.64,0.0
2023-09-29,29,Initial,0.6,4.56,2.74,4.2,3.36,0.0
