week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2022-09-01,2022-09-07,7,Initial,0.3,38.4,11.5,19.1,15.3,3.3,2,2.0,3.7,0.0
2022-09-08,2022-09-14,7,Initial,0.3,34.0,10.2,35.5,28.4,4.0,2,2.5,4.7,0.0
2022-09-15,2022-09-21,7,Initial,0.3,36.6,11.0,20.0,16.0,4.6,2,2.5,4.7,0.0
2022-09-22,2022-09-28,7,Initial,0.3,32.3,9.7,33.5,26.8,1.7,2,1.0,1.9,0.0
2022-09-29,2022-10-05,7,Initial,0.3,28.9,8.7,11.7,9.4,2.5,2,1.5,2.8,0.0
2022-10-06,2022-10-12,7,Initial,0.3,34.1,10.2,16.4,13.1,2.5,2,1.5,2.8,0.0
2022-10-13,2022-10-19,7,Initial,0.3,27.8,8.3,35.5,28.4,2.3,2,1.5,2.8,0.0
2022-10-20,2022-10-26,7,Initial,0.3,25.6,7.7,9.1,7.3,4.3,2,2.5,4.7,0.0
2022-10-27,2022-11-02,7,Initial,0.305,31.8,9.7,7.7,6.2,5.8,2,3.5,6.5,0.0
2022-11-03,2022-11-09,7,Development,0.339,33.6,11.4,15.2,12.2,6.0,2,3.5,6.5,0.0
2022-11-10,2022-11-16,7,Development,0.378,24.3,9.2,11.0,8.8,4.3,2,2.5,4.7,0.0
2022-11-17,2022-11-23,7,Development,0.417,21.4,8.9,12.8,10.2,2.7,2,1.5,2.8,0.0
2022-11-24,2022-11-30,7,Development,0.456,21.6,9.9,12.1,9.7,4.3,2,2.5,4.7,0.0
2022-12-01,2022-12-07,7,Development,0.494,30.9,15.3,2.1,1.7,13.6,2,7.5,14.0,0.0
2022-12-08,2022-12-14,7,Development,0.533,23.9,12.7,6.1,4.9,8.7,2,5.0,9.3,0.0
2022-12-15,2022-12-21,7,Development,0.572,19.3,11.0,21.2,17.0,4.6,2,2.5,4.7,0.0
2022-12-22,2022-12-28,7,Development,0.611,16.9,10.3,13.2,10.6,6.0,2,3.5,6.5,0.0
2022-12-29,2023-01-04,7,Development,0.65,22.8,14.9,5.5,4.4,10.7,2,6.0,11.2,0.0
2023-01-05,2023-01-11,7,Development,0.689,21.3,14.6,4.4,3.5,11.1,2,6.0,11.2,0.0
2023-01-12,2023-01-18,7,Development,0.728,25.1,18.2,0.5,0.4,17.8,3,6.5,18.2,0.0
2023-01-19,2023-01-25,7,Development,0.767,24.6,18.9,2.3,1.8,17.1,3,6.5,18.2,0.0
2023-01-26,2023-02-01,7,Mid-season,0.798,27.3,21.8,7.6,6.1,15.8,3,6.0,16.8,0.0
2023-02-02,2023-02-08,7,Mid-season,0.8,26.2,20.9,18.6,14.9,15.6,3,6.0,16.8,0.0
2023-02-09,2023-02-15,7,Mid-season,0.8,31.6,25.3,4.1,3.3,22.0,3,8.0,22.4,0.0
2023-02-16,2023-02-22,7,Mid-season,0.8,30.1,24.1,3.1,2.5,21.6,3,8.0,22.4,0.0
2023-02-23,2023-03-01,7,Mid-season,0.8,33.3,26.6,0.0,0.0,26.6,4,7.5,28.0,0.0
2023-03-02,2023-03-08,7,Mid-season,0.8,32.3,25.8,6.8,5.4,20.4,3,7.5,21.0,0.0
2023-03-09,2023-03-15,7,Mid-season,0.8,34.5,27.6,9.5,7.6,20.6,3,7.5,21.0,0.0
2023-03-16,2023-03-22,7,Mid-season,0.8,32.4,25.9,26.3,21.0,21.3,3,8.0,22.4,0.0
2023-03-23,2023-03-29,7,Mid-season,0.8,33.3,26.6,3.2,2.6,24.1,4,6.5,24.2,0.0
2023-03-30,2023-04-05,7,Mid-season,0.8,37.7,30.2,9.0,7.2,24.4,4,7.0,26.1,0.0
2023-04-06,2023-04-12,7,Mid-season,0.8,32.7,26.1,50.3,40.2,14.8,2,8.0,14.9,0.0
2023-04-13,2023-04-19,7,Mid-season,0.8,31.4,25.1,22.4,17.9,13.7,2,7.5,14.0,0.0
2023-04-20,2023-04-26,7,Mid-season,0.8,34.1,27.3,19.7,15.8,20.0,3,7.5,21.0,0.0
2023-04-27,2023-05-03,7,Mid-season,0.8,40.8,32.7,13.7,11.0,23.9,4,6.5,24.2,0.0
2023-05-04,2023-05-10,7,Mid-season,0.8,43.0,34.4,9.3,7.4,27.0,4,7.5,28.0,0.0
2023-05-11,2023-05-17,7,Mid-season,0.8,38.8,31.0,11.1,8.9,24.4,4,7.0,26.1,0.0
2023-05-18,2023-05-24,7,Late,0.775,33.3,25.8,33.6,26.9,15.2,3,5.5,15.4,0.0
2023-05-25,2023-05-31,7,Late,0.717,30.4,21.8,70.7,56.6,2.1,2,1.5,2.8,0.0
