week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2020-09-01,2020-09-07,7,Initial,0.6,38.9,23.3,20.2,16.2,16.2,3,6.0,16.8,0.0
2020-09-08,2020-09-14,7,Initial,0.6,24.9,14.9,81.1,64.9,6.2,2,3.5,6.5,0.0
2020-09-15,2020-09-21,7,Initial,0.6,32.2,19.3,16.4,13.1,12.4,2,7.0,13.0,0.0
2020-09-22,2020-09-28,7,Initial,0.6,34.6,20.8,35.4,28.3,11.2,2,6.5,12.1,0.0
2020-09-29,2020-10-05,7,Development,0.629,28.4,18.0,31.4,25.1,9.0,2,5.0,9.3,0.0
2020-10-06,2020-10-12,7,Development,0.724,33.0,23.7,33.2,26.6,14.1,2,8.0,14.9,0.0
2020-10-13,2020-10-19,7,Development,0.82,20.9,17.1,58.7,47.0,2.3,2,1.5,2.8,0.0
2020-10-20,2020-10-26,7,Development,0.916,24.3,22.2,42.1,33.7,8.8,2,5.0,9.3,0.0
2020-10-27,2020-11-02,7,Development,1.012,28.3,28.6,8.3,6.6,22.0,3,8.0,22.4,0.0
2020-11-03,2020-11-09,7,Development,1.109,23.1,25.4,90.5,72.4,11.2,2,6.0,11.2,0.0
2020-11-10,2020-11-16,7,Mid-season,1.15,24.1,27.7,16.7,13.4,17.7,3,6.5,18.2,0.0
2020-11-17,2020-11-23,7,Mid-season,1.15,29.3,33.7,5.3,4.2,29.5,4,8.0,29.8,0.0
2020-11-24,2020-11-30,7,Mid-season,1.15,25.1,28.9,3.5,2.8,26.1,4,7.5,28.0,0.0
2020-12-01,2020-12-07,7,Mid-season,1.15,22.3,25.7,11.7,9.4,19.5,3,7.0,19.6,0.0
2020-12-08,2020-12-14,7,Mid-season,1.15,23.1,26.6,1.3,1.0,25.6,4,7.0,26.1,0.0
2020-12-15,2020-12-21,7,Mid-season,1.144,22.2,25.4,0.9,0.7,24.6,4,7.0,26.1,0.0
2020-12-22,2020-12-28,7,Late,1.066,25.7,27.4,5.6,4.5,23.4,4,6.5,24.2,0.0
2020-12-29,2021-01-04,7,Late,0.968,27.6,26.8,0.5,0.4,26.4,4,7.5,28.0,0.0
2021-01-05,2021-01-11,7,Late,0.87,22.0,19.1,2.8,2.2,17.2,3,6.5,18.2,0.0
2021-01-12,2021-01-13,2,Late,0.807,4.8,3.9,3.0,2.4,2.1,2,1.5,2.8,0.0
