date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2021-11-25,86,Development,0.444,3.81,1.69,0.2,0.16,1.53
2021-11-26,87,Development,0.45,2.75,1.24,0.7,0.56,0.68
2021-11-27,88,Development,0.456,3.16,1.44,0.6,0.48,0.96
2021-11-28,89,Development,0.461,2.83,1.3,0.2,0.16,1.14
2021-11-29,90,Development,0.467,2.8,1.31,0.0,0.0,1.31
2021-11-30,91,Development,0.472,3.39,1.6,0.0,0.0,1.6
2021-12-01,92,Development,0.478,3.19,1.52,0.0,0.0,1.52
2021-12-02,93,Development,0.483,3.08,1.49,0.0,0.0,1.49
2021-12-03,94,Development,0.489,3.58,1.75,0.0,0.0,1.75
2021-12-04,95,Development,0.494,3.54,1.75,0.4,0.32,1.43
2021-12-05,96,Development,0.5,3.3,1.65,0.4,0.32,1.33
2021-12-06,97,Development,0.506,2.56,1.29,5.3,4.24,0.0
2021-12-07,98,Development,0.511,2.53,1.29,0.6,0.48,0.81
2021-12-08,99,Development,0.517,2.77,1.43,0.3,0.24,1.19
2021-12-09,100,Development,0.522,2.86,1.49,0.1,0.08,1.41
2021-12-10,101,Development,0.528,3.38,1.78,0.0,0.0,1.78
2021-12-11,102,Development,0.533,3.93,2.1,0.3,0.24,1.86
2021-12-12,103,Development,0.539,3.57,1.92,0.4,0.32,1.6
2021-12-13,104,Development,0.544,4.01,2.18,1.2,0.96,1.22
2021-12-14,105,Development,0.55,3.51,1.93,2.4,1.92,0.01
2021-12-15,106,Development,0.556,3.5,1.94,3.4,2.72,0.0
2021-12-16,107,Development,0.561,4.47,2.51,0.3,0.24,2.27
2021-12-17,108,Development,0.567,4.1,2.32,1.8,1.44,0.88
2021-12-18,109,Development,0.572,3.31,1.89,6.7,5.36,0.0
2021-12-19,110,Development,0.578,3.33,1.92,1.8,1.44,0.48
2021-12-20,111,Development,0.583,2.75,1.6,2.0,1.6,0.0
2021-12-21,112,Development,0.589,3.76,2.21,0.7,0.56,1.65
2021-12-22,113,Development,0.594,3.38,2.01,9.0,7.2,0.0
2021-12-23,114,Development,0.6,3.86,2.32,0.0,0.0,2.32
2021-12-24,115,Development,0.606,4.24,2.57,0.0,0.0,2.57
2021-12-25,116,Development,0.611,3.59,2.19,0.0,0.0,2.19
2021-12-26,117,Development,0.617,2.97,1.83,0.0,0.0,1.83
2021-12-27,118,Development,0.622,3.01,1.87,0.1,0.08,1.79
2021-12-28,119,Development,0.628,3.4,2.13,0.0,0.0,2.13
2021-12-29,120,Development,0.633,3.14,1.99,0.9,0.72,1.27
2021-12-30,121,Development,0.639,2.9,1.85,0.9,0.72,1.13
2021-12-31,122,Development,0.644,3.48,2.24,0.0,0.0,2.24
