Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,65167,-,-,-,37.44,-122.17,-8,23,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Solar Zenith Angle,Wind Direction,Wind Speed
2022,1,1,0,0,6.2,0,0,0,0,0,0,165.32,342,2.5
2022,1,1,0,5,6.1000000000000005,0,0,0,0,0,0,165.47,342,2.5
2022,1,1,0,10,6.1000000000000005,0,0,0,0,0,0,165.55,343,2.5
2022,1,1,0,15,6.1000000000000005,0,0,0,0,0,0,165.54,343,2.5
2022,1,1,0,20,6.1000000000000005,0,0,0,0,0,0,165.45000000000002,344,2.4000000000000004
2022,1,1,0,25,6.1000000000000005,0,0,0,0,0,0,165.29,345,2.4000000000000004
2022,1,1,0,30,6.1000000000000005,0,0,0,0,0,0,165.05,345,2.4000000000000004
2022,1,1,0,35,6.1000000000000005,0,0,0,0,0,0,164.74,346,2.4000000000000004
2022,1,1,0,40,6,0,0,0,0,0,0,164.36,346,2.4000000000000004
2022,1,1,0,45,6,0,0,0,0,0,0,163.92000000000002,347,2.4000000000000004
2022,1,1,0,50,6,0,0,0,0,0,0,163.42000000000002,348,2.3000000000000003
2022,1,1,0,55,6,0,0,0,0,0,0,162.87,348,2.3000000000000003
2022,1,1,1,0,6,0,0,0,0,0,0,162.27,349,2.3000000000000003
2022,1,1,1,5,6,0,0,0,0,0,0,161.63,349,2.3000000000000003
2022,1,1,1,10,5.9,0,0,0,0,0,0,160.95000000000002,350,2.3000000000000003
