n_panels,batt_0kWh,batt_1kWh,batt_2kWh,batt_3kWh,batt_4kWh,batt_5kWh,batt_6kWh,batt_7kWh,batt_8kWh,batt_9kWh,batt_10kWh,batt_15kWh
1,0.0,0.0,8.276763265370532,14.64483343476362,20.600709095192457,22.582044835671894,23.57830943918302,24.719833721748127,25.281719943585447,25.72890188433791,26.300498572439448,29.454703729100903
3,0.0,9.546142020414559,26.625510106575664,35.140810763946554,41.716262009204215,48.1429224307663,56.92347098451126,63.61973631481812,67.1333807583705,71.8278024331326,72.62554173790792,77.33002690058838
5,0.0,38.83044485131939,56.938474474399115,63.1042275378919,73.26361492623127,81.25360266951903,88.18714325455855,93.67919586023461,96.55141506083721,97.67191013083905,98.49504711672398,99.30102580299639
7,11.702502627601806,63.993842486289395,77.0342193699022,83.78110358474471,93.12816333663095,96.45512707453437,98.72084310108234,99.4397220581975,99.71986102909875,99.85855728429986,99.85855728429986,99.85855728429986
9,35.358177072893064,78.62333303913833,91.8772113929251,95.88794594056984,98.04665747784902,99.43114290839125,99.71986102909875,99.86130374479889,100.0,100.0,100.0,100.0
11,51.26184422465225,90.12548860015787,97.22244998910928,98.98818537691118,99.43114290839125,99.71986102909875,99.86130374479889,100.0,100.0,100.0,100.0,100.0
13,66.46289124356738,96.81808741572355,98.82262035583335,99.57258562409139,99.71402833979153,99.86130374479889,100.0,100.0,100.0,100.0,100.0,100.0
15,73.96433409632202,97.74239620157006,99.42531021908403,99.71402833979153,99.86130374479889,100.0,100.0,100.0,100.0,100.0,100.0,100.0
