date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2021-01-01,25.4,23.5,24.45,88.0,63.0,78.8,6.146,4.597,16.088,22.995,17.25,12.388,4.471,7.917,3.0698,2.2959,0.7739,0.1834,0.0673,3.7,0.3
2021-01-02,25.4,23.5,24.45,88.0,48.0,72.7,4.946,3.699,15.487,23.044,17.287,11.925,4.609,7.316,3.0698,2.0526,1.0172,0.1834,0.0673,3.92,0.0
2021-01-03,25.5,22.8,24.15,95.0,30.0,72.6,3.125,2.337,16.438,23.096,17.326,12.657,5.412,7.245,3.0195,1.8079,1.2116,0.1805,0.0673,3.69,0.0
2021-01-04,24.7,22.1,23.4,100.0,53.0,83.3,2.638,1.973,14.695,23.153,17.369,11.315,4.041,7.274,2.8858,2.1546,0.7312,0.1735,0.0673,2.83,0.0
2021-01-05,23.5,20.7,22.1,96.0,51.0,70.0,3.833,2.867,16.049,23.213,17.414,12.358,4.882,7.476,2.6685,1.9103,0.7582,0.162,0.0673,3.19,0.1
2021-01-06,22.4,19.8,21.1,78.0,42.0,59.8,3.079,2.303,14.515,23.277,17.462,11.177,4.834,6.343,2.5093,1.4696,1.0397,0.1536,0.0673,3.26,0.0
2021-01-07,23.7,20.9,22.3,85.0,38.0,65.0,2.746,2.054,17.014,23.345,17.513,13.1,5.839,7.261,2.7012,1.6073,1.0939,0.1637,0.0673,3.4,0.0
2021-01-08,24.6,21.8,23.2,94.0,72.0,84.8,6.021,4.503,5.512,23.416,17.567,4.244,0.35,3.894,2.8525,2.3411,0.5114,0.1717,0.0673,2.17,2.7
2021-01-09,21.5,17.9,19.7,83.0,53.0,61.6,6.029,4.51,9.684,23.491,17.623,7.457,2.358,5.099,2.3077,1.5308,0.777,0.1424,0.0673,3.26,0.0
2021-01-10,20.9,17.8,19.35,66.0,47.0,58.2,3.554,2.658,16.783,23.57,17.682,12.923,6.128,6.795,2.255,1.2535,1.0015,0.1397,0.0673,3.51,0.0
2021-01-11,24.3,20.9,22.6,90.0,46.0,63.1,3.196,2.39,14.36,23.652,17.743,11.058,4.224,6.833,2.7549,1.8111,0.9439,0.1664,0.0673,3.21,0.0
2021-01-12,25.0,23.2,24.1,95.0,69.0,86.0,1.975,1.477,6.53,23.738,17.807,5.028,0.673,4.355,3.0057,2.4436,0.5621,0.18,0.0673,1.74,2.6
2021-01-13,24.9,22.9,23.9,98.0,61.0,82.8,2.971,2.222,16.567,23.827,17.874,12.757,4.348,8.408,2.9707,2.3288,0.642,0.1782,0.0673,3.04,0.4
