date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2024-01-01,21.2,18.8,20.0,85.0,57.0,70.2,0.0,0.0,17.035,22.995,17.25,13.117,5.723,7.394,2.3439,1.6399,0.7041,0.1447,0.0673,2.06,0.0
2024-01-02,21.8,18.9,20.35,88.0,51.0,71.6,0.0,0.0,12.287,23.044,17.287,9.461,3.581,5.88,2.3978,1.6269,0.7709,0.1475,0.0673,1.65,0.0
2024-01-03,22.3,19.2,20.75,82.0,53.0,71.2,0.0,0.0,13.27,23.096,17.326,10.218,4.041,6.176,2.4588,1.6258,0.833,0.1507,0.0673,1.74,0.0
2024-01-04,24.2,20.3,22.25,96.0,68.0,86.1,0.0,0.0,15.379,23.153,17.369,11.842,4.223,7.619,2.701,2.1702,0.5308,0.1633,0.0673,2.2,0.0
2024-01-05,23.6,21.8,22.7,94.0,73.0,82.6,0.0,0.0,8.539,23.213,17.414,6.575,1.502,5.074,2.7624,2.2908,0.4716,0.1672,0.0673,1.48,0.6
2024-01-06,25.1,22.7,23.9,91.0,65.0,81.0,0.0,0.0,10.242,23.277,17.462,7.886,2.161,5.725,2.9728,2.291,0.6818,0.1782,0.0673,1.7,0.9
2024-01-07,25.4,22.6,24.0,97.0,81.0,90.0,0.0,0.0,15.03,23.345,17.513,11.573,3.474,8.099,2.9931,2.6438,0.3493,0.1791,0.0673,2.4,1.5
2024-01-08,24.3,22.6,23.45,89.0,68.0,76.5,0.0,0.0,4.932,23.416,17.567,3.798,0.143,3.655,2.8901,2.2532,0.6369,0.174,0.0673,1.08,0.0
2024-01-09,25.8,23.8,24.8,90.0,60.0,78.6,0.0,0.0,11.11,23.491,17.623,8.554,2.452,6.103,3.1351,2.3233,0.8118,0.1867,0.0673,1.83,0.9
2024-01-10,25.3,23.2,24.25,96.0,80.0,87.3,0.0,0.0,8.986,23.57,17.682,6.919,1.442,5.476,3.0342,2.6549,0.3794,0.1815,0.0673,1.63,1.9
2024-01-11,24.7,22.7,23.7,100.0,86.0,94.8,0.0,0.0,6.12,23.652,17.743,4.712,0.481,4.231,2.9352,2.7174,0.2178,0.1763,0.0673,1.25,15.0
2024-01-12,26.6,24.1,25.35,99.0,63.0,87.8,0.0,0.0,15.93,23.738,17.807,12.266,3.84,8.426,3.2422,2.5829,0.6593,0.1921,0.0673,2.55,0.0
2024-01-13,26.5,24.1,25.3,97.0,67.0,86.7,0.0,0.0,16.776,23.827,17.874,12.918,4.053,8.865,3.232,2.6157,0.6163,0.1916,0.0673,2.68,0.3
2024-01-14,25.8,23.3,24.55,99.0,72.0,90.6,0.0,0.0,7.83,23.919,17.944,6.029,1.047,4.982,3.0914,2.612,0.4794,0.1843,0.0673,1.49,4.1
2024-01-15,26.1,23.6,24.85,91.0,66.0,82.4,0.0,0.0,11.902,24.015,18.016,9.164,2.541,6.623,3.1472,2.4413,0.7059,0.1872,0.0673,1.99,0.3
2024-01-16,26.8,24.4,25.6,95.0,60.0,82.2,0.0,0.0,16.837,24.114,18.09,12.965,4.188,8.777,3.29,2.5089,0.7812,0.1946,0.0673,2.66,0.0
2024-01-17,25.2,23.4,24.3,98.0,78.0,89.4,0.0,0.0,5.18,24.217,18.167,3.989,0.15,3.839,3.0419,2.6605,0.3814,0.1819,0.0673,1.14,9.2
2024-01-18,26.3,23.4,24.85,94.0,74.0,86.2,0.0,0.0,16.236,24.322,18.246,12.502,3.735,8.767,3.1498,2.6187,0.5311,0.1872,0.0673,2.63,3.2
2024-01-19,25.8,23.3,24.55,100.0,72.0,89.3,0.0,0.0,12.766,24.431,18.328,9.83,2.572,7.257,3.0914,2.6263,0.4651,0.1843,0.0673,2.17,0.5
2024-01-20,24.1,21.2,22.65,93.0,57.0,75.3,0.0,0.0,4.928,24.543,18.412,3.795,0.06,3.735,2.7598,2.0263,0.7335,0.1668,0.0673,1.09,0.6
2024-01-21,21.4,19.7,20.55,75.0,52.0,62.9,0.0,0.0,12.2,24.658,18.498,9.394,3.297,6.097,2.422,1.5234,0.8986,0.1491,0.0673,1.71,0.0
2024-01-22,22.4,20.3,21.35,63.0,53.0,59.3,0.0,0.0,12.528,24.776,18.586,9.647,3.519,6.128,2.5456,1.4683,1.0773,0.1556,0.0673,1.75,0.0
2024-01-23,24.6,22.2,23.4,68.0,56.0,62.3,0.0,0.0,17.165,24.897,18.677,13.217,5.183,8.034,2.8847,1.776,1.1087,0.1735,0.0673,2.36,0.0
2024-01-24,25.1,23.2,24.15,86.0,63.0,73.3,0.0,0.0,17.561,25.021,18.77,13.522,4.586,8.936,3.0151,2.2266,0.7886,0.1805,0.0673,2.66,0.0
2024-01-25,25.4,23.5,24.45,87.0,61.0,76.8,0.0,0.0,15.336,25.147,18.865,11.809,3.739,8.07,3.0698,2.249,0.8208,0.1834,0.0673,2.41,0.0
2024-01-26,25.5,23.2,24.35,87.0,69.0,78.8,0.0,0.0,16.675,25.276,18.962,12.84,4.014,8.826,3.0535,2.3628,0.6907,0.1824,0.0673,2.63,0.6
2024-01-27,26.2,23.7,24.95,94.0,60.0,82.4,0.0,0.0,16.042,25.408,19.061,12.352,3.751,8.601,3.166,2.3978,0.7682,0.1882,0.0673,2.58,1.4
2024-01-28,26.2,23.4,24.8,97.0,57.0,83.2,0.0,0.0,17.273,25.543,19.162,13.3,4.178,9.122,3.1398,2.3653,0.7745,0.1867,0.0673,2.74,0.1
2024-01-29,23.8,19.0,21.4,89.0,52.0,65.8,0.0,0.0,16.258,25.68,19.265,12.518,4.52,7.998,2.5728,1.7444,0.8284,0.1561,0.0673,2.28,0.9
2024-01-30,21.9,19.0,20.45,65.0,41.0,54.6,0.0,0.0,7.758,25.82,19.37,5.974,1.274,4.7,2.4126,1.2529,1.1598,0.1483,0.0673,1.32,0.0
2024-01-31,22.7,20.1,21.4,76.0,50.0,61.8,0.0,0.0,13.831,25.962,19.476,10.65,3.681,6.969,2.5558,1.5838,0.9721,0.1561,0.0673,1.99,0.6
2024-02-01,22.1,19.3,20.7,75.0,40.0,56.6,0.0,0.0,14.098,26.106,19.584,10.855,4.002,6.853,2.4495,1.3716,1.0779,0.1503,0.0673,1.93,0.0
2024-02-02,22.1,20.3,21.2,76.0,39.0,59.8,0.0,0.0,12.809,26.253,19.694,9.863,3.362,6.501,2.5211,1.4239,1.0972,0.1544,0.0673,1.85,0.0
2024-02-03,23.1,19.8,21.45,77.0,38.0,59.4,0.0,0.0,14.825,26.402,19.806,11.415,4.216,7.199,2.568,1.4262,1.1418,0.1565,0.0673,2.05,0.0
2024-02-04,23.6,20.6,22.1,99.0,58.0,79.4,0.0,0.0,9.313,26.553,19.919,7.171,1.465,5.707,2.6698,2.0459,0.6239,0.162,0.0673,1.65,8.1
2024-02-05,23.3,20.4,21.85,100.0,62.0,90.0,0.0,0.0,14.702,26.706,20.034,11.321,3.28,8.041,2.6288,2.0853,0.5436,0.1599,0.0673,2.31,20.8
2024-02-06,20.8,19.5,20.15,93.0,65.0,79.0,0.0,0.0,9.371,26.86,20.15,7.216,1.507,5.709,2.3617,1.8525,0.5092,0.1459,0.0673,1.59,3.7
2024-02-07,22.8,20.5,21.65,80.0,58.0,67.4,0.0,0.0,16.859,27.017,20.268,12.981,4.402,8.579,2.5936,1.7696,0.824,0.1582,0.0673,2.46,0.5
2024-02-08,22.6,20.6,21.6,74.0,48.0,62.7,0.0,0.0,18.666,27.176,20.387,14.373,5.423,8.949,2.5844,1.5559,1.0284,0.1577,0.0673,2.56,0.0
2024-02-09,22.6,20.7,21.65,74.0,49.0,62.5,0.0,0.0,17.24,27.336,20.507,13.275,4.777,8.499,2.5919,1.5752,1.0167,0.1582,0.0673,2.43,0.0
2024-02-10,24.1,20.8,22.45,74.0,53.0,63.2,0.0,0.0,16.708,27.498,20.628,12.865,4.377,8.488,2.7292,1.7044,1.0248,0.165,0.0673,2.46,0.0
2024-02-11,25.1,21.9,23.5,78.0,50.0,69.5,0.0,0.0,19.109,27.661,20.751,14.714,5.124,9.59,2.9073,1.8215,1.0857,0.1745,0.0673,2.82,0.0
2024-02-12,25.2,22.5,23.85,91.0,48.0,75.3,0.0,0.0,14.742,27.826,20.874,11.351,3.259,8.092,2.9656,2.0095,0.9561,0.1777,0.0673,2.39,0.1
2024-02-13,25.6,22.8,24.2,92.0,66.0,82.4,0.0,0.0,14.936,27.992,20.999,11.501,2.923,8.578,3.0292,2.3601,0.6691,0.181,0.0673,2.55,1.6
2024-02-14,23.4,21.5,22.45,92.0,60.0,73.2,0.0,0.0,20.059,28.159,21.125,15.446,4.881,10.564,2.7213,2.0431,0.6782,0.165,0.0673,3.06,0.0
2024-02-15,23.5,21.1,22.3,83.0,47.0,66.1,0.0,0.0,19.832,28.328,21.251,15.271,5.319,9.952,2.6989,1.7189,0.98,0.1637,0.0673,2.88,0.0
2024-02-16,24.4,21.4,22.9,90.0,54.0,75.2,0.0,0.0,16.279,28.498,21.378,12.535,3.663,8.872,2.8025,1.9722,0.8304,0.169,0.0673,2.59,0.2
2024-02-17,25.7,22.2,23.95,100.0,59.0,81.9,0.0,0.0,19.472,28.669,21.507,14.994,4.237,10.757,2.9893,2.3123,0.677,0.1786,0.0673,3.19,0.0
2024-02-18,25.6,23.5,24.55,97.0,58.0,83.0,0.0,0.0,15.116,28.84,21.635,11.64,2.858,8.781,3.0892,2.3563,0.7328,0.1843,0.0673,2.62,1.6
2024-02-19,23.7,21.5,22.6,97.0,75.0,86.1,0.0,0.0,6.653,29.013,21.765,5.123,0.296,4.827,2.7475,2.3427,0.4048,0.1664,0.0673,1.4,5.5
2024-02-20,22.4,20.2,21.3,85.0,50.0,66.6,0.0,0.0,21.816,29.186,21.895,16.798,5.809,10.989,2.5382,1.6834,0.8548,0.1552,0.0673,3.13,0.0
2024-02-21,22.0,19.9,20.95,76.0,46.0,58.0,0.0,0.0,19.555,29.36,22.025,15.058,5.263,9.795,2.4839,1.4912,0.9927,0.1523,0.0673,2.77,0.0
2024-02-22,22.7,20.2,21.45,80.0,48.0,59.5,0.0,0.0,22.248,29.534,22.156,17.131,5.999,11.131,2.5631,1.6091,0.954,0.1565,0.0673,3.18,0.0
2024-02-23,23.3,20.7,22.0,88.0,47.0,69.2,0.0,0.0,18.09,29.709,22.287,13.929,4.301,9.628,2.6512,1.7466,0.9046,0.1611,0.0673,2.77,0.0
2024-02-24,23.5,20.9,22.2,89.0,60.0,73.3,0.0,0.0,8.543,29.885,22.419,6.578,0.881,5.697,2.6837,1.9686,0.7151,0.1629,0.0673,1.64,2.2
2024-02-25,22.4,20.0,21.2,71.0,37.0,53.6,0.0,0.0,22.871,30.061,22.551,17.611,6.57,11.04,2.5237,1.3313,1.1924,0.1544,0.0673,3.14,0.0
2024-02-26,22.9,19.9,21.4,81.0,40.0,59.5,0.0,0.0,21.841,30.236,22.683,16.818,5.911,10.907,2.5582,1.4997,1.0585,0.1561,0.0673,3.11,0.0
2024-02-27,23.8,20.4,22.1,71.0,40.0,54.8,0.0,0.0,22.741,30.413,22.815,17.511,6.381,11.129,2.6725,1.4405,1.232,0.162,0.0673,3.21,0.0
