date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2019-01-01,26.6,24.4,25.5,84.0,52.0,70.9,4.763,3.562,16.492,22.995,17.25,12.699,4.876,7.823,3.2694,2.1891,1.0803,0.1936,0.0673,4.08,0.0
2019-01-02,26.3,24.4,25.35,90.0,62.0,75.5,5.029,3.762,16.315,23.044,17.287,12.563,4.371,8.192,3.2389,2.436,0.8029,0.1921,0.0673,3.63,0.4
2019-01-03,26.8,24.1,25.45,89.0,53.0,75.1,4.467,3.341,16.405,23.096,17.326,12.632,4.672,7.96,3.2628,2.2696,0.9932,0.1931,0.0673,3.86,0.0
2019-01-04,27.0,23.9,25.45,96.0,52.0,79.5,4.2,3.141,15.109,23.153,17.369,11.634,4.029,7.605,3.2657,2.3507,0.915,0.1931,0.0673,3.56,0.1
2019-01-05,26.9,23.6,25.25,98.0,70.0,86.1,4.25,3.179,12.938,23.213,17.414,9.963,2.827,7.136,3.2287,2.6679,0.5608,0.1911,0.0673,2.77,0.7
2019-01-06,24.9,22.7,23.8,94.0,49.0,70.4,3.529,2.64,15.671,23.277,17.462,12.067,4.555,7.511,2.9539,2.0682,0.8858,0.1772,0.0673,3.35,0.0
2019-01-07,24.9,22.6,23.75,77.0,54.0,66.5,4.358,3.26,16.747,23.345,17.513,12.895,5.261,7.634,2.9456,1.906,1.0396,0.1768,0.0673,3.9,0.0
2019-01-08,25.8,23.5,24.65,95.0,63.0,79.0,2.563,1.917,16.391,23.416,17.567,12.621,4.285,8.336,3.1087,2.4218,0.6869,0.1853,0.0673,3.03,0.9
2019-01-09,25.5,22.8,24.15,100.0,46.0,75.6,3.658,2.736,16.445,23.491,17.623,12.662,4.715,7.947,3.0195,2.1384,0.8811,0.1805,0.0673,3.47,0.0
2019-01-10,24.1,20.6,22.35,84.0,44.0,63.4,4.525,3.384,17.1,23.57,17.682,13.167,5.666,7.501,2.7142,1.6796,1.0346,0.1642,0.0673,3.95,0.0
2019-01-11,23.7,20.3,22.0,79.0,38.0,59.7,4.708,3.522,15.937,23.652,17.743,12.272,5.415,6.857,2.6563,1.4977,1.1586,0.1611,0.0673,4.17,0.0
