date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2018-01-01,24.1,21.6,22.85,90.0,52.0,74.7,1.767,1.321,14.4,22.995,17.25,11.088,4.239,6.849,2.791,1.9416,0.8495,0.1686,0.0673,2.63,0.0
2018-01-02,22.4,21.4,21.9,94.0,55.0,77.8,3.713,2.777,8.719,23.044,17.287,6.714,1.781,4.932,2.6289,1.9429,0.686,0.1603,0.0673,2.45,0.6
2018-01-03,23.5,18.7,21.1,98.0,62.0,81.1,7.896,5.906,8.183,23.096,17.326,6.301,1.526,4.775,2.5261,1.9543,0.5717,0.1536,0.0673,2.79,5.2
2018-01-04,18.4,16.7,17.55,69.0,47.0,57.9,8.608,6.439,17.086,23.153,17.369,13.156,6.496,6.66,2.0088,1.1533,0.8556,0.1266,0.0673,4.37,0.0
2018-01-05,19.9,17.0,18.45,70.0,47.0,58.1,5.042,3.771,13.234,23.213,17.414,10.19,4.436,5.754,2.1308,1.2243,0.9065,0.133,0.0673,3.57,0.0
2018-01-06,21.2,18.3,19.75,66.0,42.0,51.1,7.108,5.317,15.908,23.277,17.462,12.249,5.882,6.368,2.3105,1.2228,1.0877,0.1428,0.0673,4.72,0.0
2018-01-07,22.2,19.5,20.85,74.0,45.0,55.6,7.213,5.395,10.44,23.345,17.513,8.039,2.865,5.174,2.4716,1.4409,1.0307,0.1515,0.0673,4.28,0.5
2018-01-08,23.5,21.3,22.4,95.0,66.0,79.7,6.233,4.662,6.239,23.416,17.567,4.804,0.651,4.153,2.7144,2.1588,0.5556,0.1646,0.0673,2.39,1.4
2018-01-09,24.3,21.9,23.1,99.0,86.0,91.1,2.879,2.153,2.812,23.491,17.623,2.165,-0.579,2.744,2.833,2.6072,0.2258,0.1708,0.0673,1.01,10.4
2018-01-10,22.2,21.4,21.8,99.0,79.0,90.8,2.7,2.019,1.688,23.57,17.682,1.3,-1.041,2.341,2.6126,2.3188,0.2938,0.1594,0.0673,1.0,16.0
2018-01-11,23.9,22.1,23.0,98.0,69.0,88.9,3.925,2.936,10.85,23.652,17.743,8.355,2.268,6.086,2.8131,2.3267,0.4863,0.1699,0.0673,2.35,7.5
2018-01-12,25.3,22.9,24.1,96.0,67.0,85.9,4.158,3.11,14.497,23.738,17.807,11.163,3.504,7.659,3.0087,2.4207,0.5879,0.18,0.0673,2.94,1.5
2018-01-13,24.3,21.7,23.0,99.0,74.0,85.5,4.125,3.085,10.904,23.827,17.874,8.396,2.192,6.204,2.817,2.4091,0.4079,0.1699,0.0673,2.23,0.8
2018-01-14,22.0,20.7,21.35,80.0,62.0,71.4,7.746,5.794,7.56,23.919,17.944,5.821,1.23,4.592,2.5427,1.7962,0.7465,0.1556,0.0673,3.32,0.2
2018-01-15,22.6,20.8,21.7,73.0,61.0,67.5,8.133,6.083,11.516,24.015,18.016,8.868,2.96,5.907,2.5994,1.733,0.8664,0.1586,0.0673,4.01,0.7
