date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2022-01-01,26.7,24.2,25.45,91.0,45.0,70.8,4.633,3.466,16.42,22.995,17.25,12.643,4.89,7.753,3.2615,2.1623,1.0992,0.1931,0.0673,4.07,0.0
2022-01-02,26.4,24.0,25.2,91.0,43.0,69.1,4.929,3.687,16.513,23.044,17.287,12.715,5.01,7.705,3.2128,2.0977,1.1152,0.1907,0.0673,4.19,0.0
2022-01-03,26.3,23.5,24.9,94.0,48.0,75.8,3.65,2.73,16.236,23.096,17.326,12.502,4.717,7.785,3.1585,2.1821,0.9765,0.1877,0.0673,3.59,0.3
2022-01-04,23.7,22.5,23.1,93.0,66.0,82.8,5.379,4.023,2.747,23.153,17.369,2.115,-0.674,2.789,2.8281,2.2345,0.5936,0.1708,0.0673,2.07,2.0
2022-01-05,25.3,23.1,24.2,96.0,64.0,82.9,2.8,2.094,15.754,23.213,17.414,12.13,4.129,8.001,3.0257,2.3887,0.637,0.181,0.0673,2.91,1.3
2022-01-06,25.9,23.6,24.75,96.0,56.0,83.4,2.483,1.857,16.358,23.277,17.462,12.596,4.455,8.141,3.1273,2.3339,0.7934,0.1862,0.0673,3.1,1.1
2022-01-07,26.4,23.4,24.9,99.0,48.0,79.8,2.258,1.689,11.812,23.345,17.513,9.095,2.819,6.276,3.1599,2.2507,0.9092,0.1877,0.0673,2.7,0.1
2022-01-08,25.1,23.8,24.45,90.0,61.0,78.7,6.2,4.637,10.066,23.416,17.567,7.751,2.081,5.669,3.0675,2.2987,0.7688,0.1834,0.0673,3.22,2.9
2022-01-09,25.2,24.1,24.65,94.0,68.0,84.6,7.525,5.628,6.7,23.491,17.623,5.159,0.747,4.412,3.1038,2.5008,0.603,0.1853,0.0673,2.69,4.1
2022-01-10,26.0,24.1,25.05,98.0,74.0,88.1,2.396,1.792,13.453,23.57,17.682,10.359,2.871,7.488,3.1817,2.7147,0.467,0.1892,0.0673,2.51,24.5
2022-01-11,23.9,22.9,23.4,97.0,69.0,84.7,5.438,4.067,9.886,23.652,17.743,7.612,1.893,5.719,2.8793,2.3776,0.5016,0.1735,0.0673,2.46,7.4
2022-01-12,22.8,22.3,22.55,97.0,65.0,82.3,7.338,5.488,6.43,23.738,17.807,4.951,0.68,4.271,2.7341,2.208,0.5261,0.1659,0.0673,2.46,12.5
2022-01-13,23.1,21.7,22.4,98.0,58.0,83.5,5.146,3.849,10.926,23.827,17.874,8.413,2.445,5.968,2.7112,2.0917,0.6195,0.1646,0.0673,2.78,5.9
2022-01-14,21.7,19.8,20.75,82.0,48.0,61.8,6.646,4.971,16.578,23.919,17.944,12.765,5.403,7.362,2.4527,1.5699,0.8828,0.1507,0.0673,4.09,0.3
2022-01-15,22.4,19.9,21.15,77.0,43.0,62.1,2.075,1.552,17.662,24.015,18.016,13.599,6.083,7.516,2.5165,1.4771,1.0393,0.154,0.0673,3.13,0.0
2022-01-16,23.8,20.4,22.1,98.0,51.0,73.7,6.608,4.943,13.421,24.114,18.09,10.334,3.538,6.796,2.6725,1.9262,0.7463,0.162,0.0673,3.52,8.7
2022-01-17,22.0,20.8,21.4,97.0,57.0,70.6,6.654,4.977,16.236,24.217,18.167,12.502,4.576,7.925,2.5503,1.945,0.6053,0.1561,0.0673,3.33,2.4
2022-01-18,20.7,18.7,19.7,76.0,52.0,64.8,4.312,3.226,17.291,24.322,18.246,13.314,5.737,7.576,2.2991,1.4543,0.8448,0.1424,0.0673,3.54,0.0
2022-01-19,23.1,19.8,21.45,83.0,49.0,64.5,3.413,2.552,17.039,24.431,18.328,13.12,5.354,7.766,2.568,1.6509,0.9171,0.1565,0.0673,3.46,0.0
2022-01-20,24.9,22.4,23.65,93.0,63.0,74.5,3.663,2.739,15.793,24.543,18.412,12.161,3.995,8.166,2.929,2.2516,0.6774,0.1758,0.0673,3.15,0.7
2022-01-21,25.8,23.0,24.4,99.0,69.0,89.1,3.312,2.478,14.954,24.658,18.498,11.515,3.335,8.18,3.0657,2.5367,0.5289,0.1829,0.0673,2.86,3.0
2022-01-22,24.9,22.5,23.7,100.0,71.0,89.3,2.8,2.094,15.746,24.776,18.586,12.125,3.612,8.513,2.9373,2.4807,0.4566,0.1763,0.0673,2.77,0.9
2022-01-23,23.2,20.3,21.75,95.0,68.0,86.0,3.888,2.908,11.722,24.897,18.677,9.026,2.531,6.495,2.6128,2.0983,0.5145,0.159,0.0673,2.49,1.2
2022-01-24,20.0,17.9,18.95,89.0,56.0,73.8,4.992,3.734,17.521,25.021,18.77,13.491,5.353,8.139,2.1947,1.5674,0.6272,0.1367,0.0673,3.25,0.3
2022-01-25,22.7,19.1,20.9,90.0,42.0,67.3,0.892,0.667,18.14,25.147,18.865,13.968,5.714,8.254,2.485,1.5744,0.9106,0.1519,0.0673,2.72,0.0
2022-01-26,25.1,21.5,23.3,92.0,45.0,74.8,3.633,2.718,17.179,25.276,18.962,13.228,4.868,8.36,2.8756,1.8966,0.9789,0.1726,0.0673,3.75,0.0
2022-01-27,25.1,21.9,23.5,98.0,56.0,86.6,2.554,1.91,11.855,25.408,19.061,9.128,2.479,6.649,2.9073,2.1799,0.7274,0.1745,0.0673,2.65,1.8
2022-01-28,24.6,22.5,23.55,100.0,68.0,87.0,3.867,2.892,13.662,25.543,19.162,10.52,2.851,7.669,2.9093,2.4144,0.4949,0.1749,0.0673,2.72,1.9
2022-01-29,22.6,16.0,19.3,79.0,48.0,62.6,8.858,6.626,14.018,25.68,19.265,10.794,3.99,6.805,2.2802,1.3763,0.9039,0.1393,0.0673,4.54,0.0
2022-01-30,18.6,15.6,17.1,71.0,42.0,53.1,5.025,3.758,15.228,25.82,19.37,11.726,4.817,6.908,1.9578,1.0792,0.8785,0.1235,0.0673,3.75,0.0
2022-01-31,20.3,18.0,19.15,70.0,41.0,54.6,4.779,3.575,19.634,25.962,19.476,15.118,6.657,8.461,2.223,1.2107,1.0123,0.1382,0.0673,4.27,0.0
2022-02-01,22.3,19.6,20.95,63.0,35.0,51.5,6.021,4.503,16.441,26.106,19.584,12.66,5.383,7.277,2.4868,1.1897,1.2971,0.1523,0.0673,5.13,0.0
2022-02-02,23.6,20.8,22.2,67.0,43.0,57.7,6.171,4.615,19.242,26.253,19.694,14.816,6.2,8.616,2.6848,1.4493,1.2356,0.1629,0.0673,5.19,0.0
2022-02-03,24.1,22.0,23.05,76.0,53.0,63.7,5.175,3.871,17.316,26.402,19.806,13.333,4.769,8.564,2.8229,1.8002,1.0227,0.1704,0.0673,4.31,0.2
2022-02-04,24.4,22.3,23.35,75.0,46.0,62.8,4.013,3.001,19.087,26.553,19.919,14.697,5.607,9.09,2.8745,1.7127,1.1618,0.1731,0.0673,4.38,0.0
2022-02-05,24.5,22.2,23.35,81.0,40.0,62.4,2.7,2.019,19.919,26.706,20.034,15.337,5.924,9.413,2.8755,1.6988,1.1766,0.1731,0.0673,4.01,0.0
2022-02-06,25.0,22.0,23.5,93.0,58.0,79.0,3.246,2.428,17.208,26.86,20.15,13.25,4.111,9.139,2.9059,2.1481,0.7578,0.1745,0.0673,3.45,3.4
2022-02-07,24.9,22.6,23.75,87.0,39.0,67.2,3.392,2.537,20.059,27.017,20.268,15.446,5.705,9.741,2.9456,1.8069,1.1387,0.1768,0.0673,4.28,0.0
2022-02-08,25.5,22.7,24.1,93.0,39.0,73.0,1.812,1.356,14.969,27.176,20.387,11.526,3.586,7.94,3.0111,1.9192,1.0919,0.18,0.0673,3.18,1.1
2022-02-09,25.4,22.5,23.95,99.0,52.0,82.7,2.808,2.1,10.091,27.336,20.507,7.77,1.594,6.176,2.9848,2.1926,0.7922,0.1786,0.0673,2.69,0.8
2022-02-10,24.8,22.3,23.55,96.0,67.0,81.9,4.487,3.356,19.667,27.498,20.628,15.143,4.48,10.664,2.9114,2.3411,0.5703,0.1749,0.0673,3.61,2.6
