date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2023-01-01,26.2,24.2,25.2,93.0,56.0,78.2,2.725,2.038,16.132,22.995,17.25,12.421,4.435,7.987,3.2107,2.3567,0.854,0.1907,0.0673,3.2,0.0
2023-01-02,25.9,24.2,25.05,93.0,60.0,77.7,4.404,3.294,13.601,23.044,17.287,10.473,3.391,7.081,3.1808,2.4068,0.774,0.1892,0.0673,3.21,0.3
2023-01-03,26.5,24.5,25.5,82.0,62.0,73.5,4.638,3.469,16.394,23.096,17.326,12.624,4.563,8.061,3.2684,2.3339,0.9345,0.1936,0.0673,3.8,0.4
2023-01-04,26.6,24.3,25.45,92.0,57.0,75.9,4.379,3.275,16.42,23.153,17.369,12.643,4.462,8.181,3.2603,2.39,0.8703,0.1931,0.0673,3.65,0.3
2023-01-05,26.5,23.9,25.2,91.0,55.0,77.0,2.858,2.138,16.427,23.213,17.414,12.649,4.579,8.07,3.2141,2.3016,0.9124,0.1907,0.0673,3.34,1.1
2023-01-06,25.7,23.7,24.7,96.0,58.0,79.0,4.254,3.182,13.111,23.277,17.462,10.096,3.195,6.901,3.1164,2.3644,0.7521,0.1858,0.0673,3.1,1.0
2023-01-07,24.8,23.1,23.95,83.0,60.0,72.7,5.167,3.864,14.335,23.345,17.513,11.038,3.939,7.099,2.9784,2.1121,0.8663,0.1786,0.0673,3.59,0.2
2023-01-08,24.9,22.6,23.75,88.0,56.0,72.4,3.983,2.979,13.021,23.416,17.567,10.026,3.414,6.612,2.9456,2.0883,0.8573,0.1768,0.0673,3.2,1.2
2023-01-09,25.6,23.2,24.4,99.0,65.0,85.0,2.454,1.836,12.593,23.491,17.623,9.696,2.83,6.866,3.0632,2.4745,0.5887,0.1829,0.0673,2.51,0.9
2023-01-10,24.5,22.5,23.5,90.0,46.0,71.2,2.933,2.194,13.446,23.57,17.682,10.353,3.734,6.619,2.9001,1.9337,0.9664,0.1745,0.0673,3.1,0.0
