crop,year,control_mode,start_hour,battery_nameplate,battery_eff_kwh,irrigation_days,met_days,unfulfilled_days,fulfillment_pct
cassava,2018,continuous-run,6,4.0,3.4,94,24,70,25.5
cassava,2018,continuous-run,7,4.0,3.4,94,65,29,69.1
cassava,2018,continuous-run,8,4.0,3.4,94,93,1,98.9
cassava,2018,continuous-run,9,4.0,3.4,94,94,0,100.0
cassava,2018,continuous-run,10,4.0,3.4,94,93,1,98.9
cassava,2018,continuous-run,11,4.0,3.4,94,88,6,93.6
cassava,2018,continuous-run,12,4.0,3.4,94,62,32,66.0
cassava,2018,continuous-run,13,4.0,3.4,94,49,45,52.1
cassava,2018,continuous-run,14,4.0,3.4,94,42,52,44.7
cassava,2019,continuous-run,6,4.0,3.4,89,13,76,14.6
cassava,2019,continuous-run,7,4.0,3.4,89,61,28,68.5
cassava,2019,continuous-run,8,4.0,3.4,89,88,1,98.9
cassava,2019,continuous-run,9,4.0,3.4,89,88,1,98.9
cassava,2019,continuous-run,10,4.0,3.4,89,89,0,100.0
cassava,2019,continuous-run,11,4.0,3.4,89,82,7,92.1
cassava,2019,continuous-run,12,4.0,3.4,89,65,24,73.0
cassava,2019,continuous-run,13,4.0,3.4,89,54,35,60.7
cassava,2019,continuous-run,14,4.0,3.4,89,43,46,48.3
cassava,2020,continuous-run,6,4.0,3.4,101,26,75,25.7
cassava,2020,continuous-run,7,4.0,3.4,101,71,30,70.3
cassava,2020,continuous-run,8,4.0,3.4,101,99,2,98.0
cassava,2020,continuous-run,9,4.0,3.4,101,100,1,99.0
cassava,2020,continuous-run,10,4.0,3.4,101,100,1,99.0
cassava,2020,continuous-run,11,4.0,3.4,101,91,10,90.1
cassava,2020,continuous-run,12,4.0,3.4,101,68,33,67.3
cassava,2020,continuous-run,13,4.0,3.4,101,57,44,56.4
cassava,2020,continuous-run,14,4.0,3.4,101,44,57,43.6
cassava,2021,continuous-run,6,4.0,3.4,81,13,68,16.0
cassava,2021,continuous-run,7,4.0,3.4,81,56,25,69.1
cassava,2021,continuous-run,8,4.0,3.4,81,80,1,98.8
cassava,2021,continuous-run,9,4.0,3.4,81,79,2,97.5
cassava,2021,continuous-run,10,4.0,3.4,81,78,3,96.3
cassava,2021,continuous-run,11,4.0,3.4,81,67,14,82.7
cassava,2021,continuous-run,12,4.0,3.4,81,54,27,66.7
cassava,2021,continuous-run,13,4.0,3.4,81,48,33,59.3
cassava,2021,continuous-run,14,4.0,3.4,81,39,42,48.1
cassava,2022,continuous-run,6,4.0,3.4,88,21,67,23.9
cassava,2022,continuous-run,7,4.0,3.4,88,59,29,67.0
cassava,2022,continuous-run,8,4.0,3.4,88,88,0,100.0
cassava,2022,continuous-run,9,4.0,3.4,88,88,0,100.0
cassava,2022,continuous-run,10,4.0,3.4,88,84,4,95.5
cassava,2022,continuous-run,11,4.0,3.4,88,72,16,81.8
cassava,2022,continuous-run,12,4.0,3.4,88,55,33,62.5
cassava,2022,continuous-run,13,4.0,3.4,88,53,35,60.2
cassava,2022,continuous-run,14,4.0,3.4,88,46,42,52.3
cassava,2023,continuous-run,6,4.0,3.4,75,21,54,28.0
cassava,2023,continuous-run,7,4.0,3.4,75,58,17,77.3
cassava,2023,continuous-run,8,4.0,3.4,75,73,2,97.3
cassava,2023,continuous-run,9,4.0,3.4,75,74,1,98.7
cassava,2023,continuous-run,10,4.0,3.4,75,74,1,98.7
cassava,2023,continuous-run,11,4.0,3.4,75,70,5,93.3
cassava,2023,continuous-run,12,4.0,3.4,75,54,21,72.0
cassava,2023,continuous-run,13,4.0,3.4,75,41,34,54.7
cassava,2023,continuous-run,14,4.0,3.4,75,35,40,46.7
cassava,2024,continuous-run,6,4.0,3.4,23,4,19,17.4
cassava,2024,continuous-run,7,4.0,3.4,23,17,6,73.9
cassava,2024,continuous-run,8,4.0,3.4,23,22,1,95.7
cassava,2024,continuous-run,9,4.0,3.4,23,23,0,100.0
cassava,2024,continuous-run,10,4.0,3.4,23,23,0,100.0
cassava,2024,continuous-run,11,4.0,3.4,23,23,0,100.0
cassava,2024,continuous-run,12,4.0,3.4,23,23,0,100.0
cassava,2024,continuous-run,13,4.0,3.4,23,22,1,95.7
cassava,2024,continuous-run,14,4.0,3.4,23,21,2,91.3
tomato,2018,continuous-run,6,4.0,3.4,57,2,55,3.5
tomato,2018,continuous-run,7,4.0,3.4,57,34,23,59.6
tomato,2018,continuous-run,8,4.0,3.4,57,55,2,96.5
tomato,2018,continuous-run,9,4.0,3.4,57,57,0,100.0
tomato,2018,continuous-run,10,4.0,3.4,57,54,3,94.7
tomato,2018,continuous-run,11,4.0,3.4,57,35,22,61.4
tomato,2018,continuous-run,12,4.0,3.4,57,30,27,52.6
tomato,2018,continuous-run,13,4.0,3.4,57,26,31,45.6
tomato,2018,continuous-run,14,4.0,3.4,57,16,41,28.1
tomato,2019,continuous-run,6,4.0,3.4,50,0,50,0.0
tomato,2019,continuous-run,7,4.0,3.4,50,32,18,64.0
tomato,2019,continuous-run,8,4.0,3.4,50,47,3,94.0
tomato,2019,continuous-run,9,4.0,3.4,50,48,2,96.0
tomato,2019,continuous-run,10,4.0,3.4,50,47,3,94.0
tomato,2019,continuous-run,11,4.0,3.4,50,29,21,58.0
tomato,2019,continuous-run,12,4.0,3.4,50,24,26,48.0
tomato,2019,continuous-run,13,4.0,3.4,50,19,31,38.0
tomato,2019,continuous-run,14,4.0,3.4,50,11,39,22.0
tomato,2020,continuous-run,6,4.0,3.4,46,1,45,2.2
tomato,2020,continuous-run,7,4.0,3.4,46,24,22,52.2
tomato,2020,continuous-run,8,4.0,3.4,46,43,3,93.5
tomato,2020,continuous-run,9,4.0,3.4,46,44,2,95.7
tomato,2020,continuous-run,10,4.0,3.4,46,41,5,89.1
tomato,2020,continuous-run,11,4.0,3.4,46,25,21,54.3
tomato,2020,continuous-run,12,4.0,3.4,46,22,24,47.8
tomato,2020,continuous-run,13,4.0,3.4,46,19,27,41.3
tomato,2020,continuous-run,14,4.0,3.4,46,11,35,23.9
tomato,2021,continuous-run,6,4.0,3.4,47,1,46,2.1
tomato,2021,continuous-run,7,4.0,3.4,47,28,19,59.6
tomato,2021,continuous-run,8,4.0,3.4,47,47,0,100.0
tomato,2021,continuous-run,9,4.0,3.4,47,47,0,100.0
tomato,2021,continuous-run,10,4.0,3.4,47,38,9,80.9
tomato,2021,continuous-run,11,4.0,3.4,47,27,20,57.4
tomato,2021,continuous-run,12,4.0,3.4,47,24,23,51.1
tomato,2021,continuous-run,13,4.0,3.4,47,19,28,40.4
