crop,year,control_mode,start_hour,battery_nameplate,battery_eff_kwh,irrigation_days,met_days,unfulfilled_days,fulfillment_pct
tomato,2021,continuous-run,11,2.0,1.7,47,25,22,53.2
tomato,2021,continuous-run,12,2.0,1.7,47,21,26,44.7
tomato,2021,continuous-run,13,2.0,1.7,47,13,34,27.7
tomato,2021,continuous-run,14,2.0,1.7,47,10,37,21.3
tomato,2022,continuous-run,6,2.0,1.7,52,0,52,0.0
tomato,2022,continuous-run,7,2.0,1.7,52,11,41,21.2
tomato,2022,continuous-run,8,2.0,1.7,52,29,23,55.8
tomato,2022,continuous-run,9,2.0,1.7,52,46,6,88.5
tomato,2022,continuous-run,10,2.0,1.7,52,36,16,69.2
tomato,2022,continuous-run,11,2.0,1.7,52,29,23,55.8
tomato,2022,continuous-run,12,2.0,1.7,52,21,31,40.4
tomato,2022,continuous-run,13,2.0,1.7,52,14,38,26.9
tomato,2022,continuous-run,14,2.0,1.7,52,8,44,15.4
tomato,2023,continuous-run,6,2.0,1.7,45,0,45,0.0
tomato,2023,continuous-run,7,2.0,1.7,45,13,32,28.9
tomato,2023,continuous-run,8,2.0,1.7,45,32,13,71.1
tomato,2023,continuous-run,9,2.0,1.7,45,39,6,86.7
tomato,2023,continuous-run,10,2.0,1.7,45,27,18,60.0
tomato,2023,continuous-run,11,2.0,1.7,45,24,21,53.3
tomato,2023,continuous-run,12,2.0,1.7,45,18,27,40.0
tomato,2023,continuous-run,13,2.0,1.7,45,13,32,28.9
tomato,2023,continuous-run,14,2.0,1.7,45,6,39,13.3
tomato,2024,continuous-run,6,2.0,1.7,31,0,31,0.0
tomato,2024,continuous-run,7,2.0,1.7,31,8,23,25.8
tomato,2024,continuous-run,8,2.0,1.7,31,21,10,67.7
tomato,2024,continuous-run,9,2.0,1.7,31,27,4,87.1
tomato,2024,continuous-run,10,2.0,1.7,31,22,9,71.0
tomato,2024,continuous-run,11,2.0,1.7,31,17,14,54.8
tomato,2024,continuous-run,12,2.0,1.7,31,14,17,45.2
tomato,2024,continuous-run,13,2.0,1.7,31,7,24,22.6
tomato,2024,continuous-run,14,2.0,1.7,31,6,25,19.4
